bom_id,proposal_id,product_id,product_name,quantity,unit_price_inr_lakh,total_price_inr_lakh,lead_time_weeks,supply_type,margin_pct
BOM-00048,PRP-2026-0008,TP-AP-005,Scrubber System,4,148.69,594.75,14,OEM,26.1
BOM-00049,PRP-2026-0008,TP-WT-004,MBR Sewage Treatment Plant,1,225.82,225.82,31,In-house,16.3
BOM-00050,PRP-2026-0009,TP-AP-002,Bag Filter System,3,176.97,530.92,29,In-house,31.9
BOM-00051,PRP-2026-0009,TP-CP-003,RO Membrane Antiscalants,3,23.19,69.58,22,In-house,30.9
BOM-00052,PRP-2026-0009,TP-SB-004,EPC Boiler 100 TPH,3,2743.34,8230.02,21,Third-party,16.2
BOM-00053,PRP-2026-0009,TP-CP-002,Cooling Tower Chemicals Package,4,27.96,111.85,24,In-house,29.9
BOM-00054,PRP-2026-0009,TP-AP-002,Bag Filter System,1,182.01,182.01,21,OEM,22.1
BOM-00055,PRP-2026-0009,TP-SB-001,Shellmax Oil and Gas Boiler,4,168.05,672.2,10,OEM,28.5
BOM-00056,PRP-2026-0009,TP-AP-002,Bag Filter System,4,221.78,887.12,15,OEM,17.0
BOM-00057,PRP-2026-0010,TP-SB-005,Waste Heat Recovery Boiler,1,583.69,583.69,21,In-house,24.7
BOM-00058,PRP-2026-0010,TP-PW-002,Captive Power Plant 50 MW,3,22641.58,67924.74,23,OEM,31.3
BOM-00059,PRP-2026-0010,TP-SB-004,EPC Boiler 100 TPH,3,2816.53,8449.58,15,In-house,28.0
BOM-00060,PRP-2026-0010,TP-SR-005,Spare Parts Contract,1,46.69,46.69,26,In-house,15.5
BOM-00061,PRP-2026-0010,TP-SB-004,EPC Boiler 100 TPH,1,2697.01,2697.01,30,In-house,28.1
BOM-00062,PRP-2026-0011,TP-SR-005,Spare Parts Contract,1,42.32,42.32,28,In-house,15.2
BOM-00063,PRP-2026-0011,TP-SB-004,EPC Boiler 100 TPH,1,2627.73,2627.73,20,In-house,15.7
BOM-00064,PRP-2026-0011,TP-SR-003,Performance Enhancement Retrofit,2,271.8,543.59,29,OEM,14.2
BOM-00065,PRP-2026-0012,TP-RN-001,Biomass Gasifier,4,428.88,1715.53,27,In-house,20.1
BOM-00066,PRP-2026-0012,TP-SB-002,Combloc Solid Fuel Boiler,4,246.27,985.06,26,OEM,15.9
BOM-00067,PRP-2026-0012,TP-SB-001,Shellmax Oil and Gas Boiler,1,190.16,190.16,14,OEM,16.3
BOM-00068,PRP-2026-0012,TP-CP-001,Process Chemicals Package,3,33.48,100.44,23,OEM,22.0
BOM-00069,PRP-2026-0012,TP-AP-003,Flue Gas Desulphurisation,2,2396.04,4792.07,9,OEM,19.6
BOM-00070,PRP-2026-0012,TP-SR-004,Digital Monitoring Platform,3,117.92,353.76,25,OEM,16.7
BOM-00071,PRP-2026-0013,TP-PW-002,Captive Power Plant 50 MW,3,23535.9,70607.7,8,OEM,24.6
BOM-00072,PRP-2026-0013,TP-WT-002,Reverse Osmosis Plant,1,115.15,115.15,25,In-house,21.6
BOM-00073,PRP-2026-0013,TP-WT-005,MEE Evaporator System,2,401.23,802.47,14,In-house,20.1
BOM-00074,PRP-2026-0013,TP-RN-002,Solar Thermal System,4,700.35,2801.41,18,OEM,24.2
BOM-00075,PRP-2026-0013,TP-PW-002,Captive Power Plant 50 MW,3,23902.41,71707.23,13,In-house,22.2
BOM-00076,PRP-2026-0014,TP-RN-003,Green Hydrogen Electrolyser,2,2702.37,5404.73,28,OEM,26.5
BOM-00077,PRP-2026-0014,TP-RN-001,Biomass Gasifier,2,354.86,709.71,31,Third-party,28.5
BOM-00078,PRP-2026-0014,TP-SR-001,Annual Maintenance Contract Basic,2,82.46,164.92,8,Third-party,14.2
BOM-00079,PRP-2026-0015,TP-SB-002,Combloc Solid Fuel Boiler,1,218.72,218.72,22,OEM,25.4
BOM-00080,PRP-2026-0015,TP-PW-004,Extraction Condensing Turbine,1,8912.22,8912.22,14,OEM,19.1
BOM-00081,PRP-2026-0015,TP-AP-002,Bag Filter System,3,207.8,623.41,18,OEM,18.4
BOM-00082,PRP-2026-0015,TP-WT-005,MEE Evaporator System,1,347.59,347.59,16,In-house,14.4
BOM-00083,PRP-2026-0015,TP-WT-001,Demineralisation Plant,4,151.74,606.95,11,Third-party,30.9
BOM-00084,PRP-2026-0016,TP-RN-001,Biomass Gasifier,2,369.94,739.89,19,OEM,30.9
BOM-00085,PRP-2026-0016,TP-SR-004,Digital Monitoring Platform,1,110.69,110.69,12,OEM,17.5
BOM-00086,PRP-2026-0016,TP-SR-001,Annual Maintenance Contract Basic,3,80.36,241.07,21,OEM,30.6
BOM-00087,PRP-2026-0016,TP-WT-005,MEE Evaporator System,3,418.45,1255.34,18,OEM,15.0
BOM-00088,PRP-2026-0016,TP-AP-005,Scrubber System,2,182.4,364.8,26,In-house,17.8
BOM-00089,PRP-2026-0017,TP-RN-002,Solar Thermal System,1,612.16,612.16,20,OEM,20.7
BOM-00090,PRP-2026-0017,TP-CP-002,Cooling Tower Chemicals Package,4,25.3,101.21,30,Third-party,23.5
BOM-00091,PRP-2026-0017,TP-RN-002,Solar Thermal System,4,674.65,2698.59,26,In-house,25.5
BOM-00092,PRP-2026-0018,TP-SB-003,Thermopac Thermic Fluid Heater,2,123.64,247.28,14,In-house,29.5
BOM-00093,PRP-2026-0018,TP-SR-002,Annual Maintenance Contract Premium,2,155.4,310.79,20,OEM,16.8
BOM-00094,PRP-2026-0018,TP-PW-004,Extraction Condensing Turbine,3,7918.29,23754.87,12,In-house,19.3
BOM-00095,PRP-2026-0018,TP-CP-002,Cooling Tower Chemicals Package,3,25.73,77.2,9,In-house,23.2
BOM-00096,PRP-2026-0018,TP-PW-002,Captive Power Plant 50 MW,4,24140.96,96563.85,21,In-house,20.6
BOM-00097,PRP-2026-0018,TP-RN-003,Green Hydrogen Electrolyser,3,2236.57,6709.72,8,OEM,22.0
BOM-00098,PRP-2026-0018,TP-AP-004,Selective Catalytic Reduction,1,747.03,747.03,10,Third-party,29.2
BOM-00099,PRP-2026-0019,TP-CP-003,RO Membrane Antiscalants,1,23.89,23.89,15,In-house,16.1
BOM-00100,PRP-2026-0019,TP-PW-004,Extraction Condensing Turbine,1,7907.7,7907.7,18,OEM,26.2
BOM-00101,PRP-2026-0019,TP-AP-004,Selective Catalytic Reduction,3,837.38,2512.14,32,Third-party,17.4
BOM-00102,PRP-2026-0019,TP-WT-001,Demineralisation Plant,3,123.62,370.86,17,Third-party,28.8
BOM-00103,PRP-2026-0019,TP-SR-002,Annual Maintenance Contract Premium,4,180.93,723.73,32,In-house,22.5
BOM-00104,PRP-2026-0019,TP-CP-001,Process Chemicals Package,2,38.84,77.67,15,OEM,27.0
BOM-00105,PRP-2026-0019,TP-AP-001,Electrostatic Precipitator,4,446.26,1785.03,26,OEM,27.6
BOM-00106,PRP-2026-0020,TP-RN-001,Biomass Gasifier,3,418.72,1256.15,18,OEM,21.7
BOM-00107,PRP-2026-0020,TP-SR-003,Performance Enhancement Retrofit,2,240.49,480.99,25,In-house,20.7
BOM-00108,PRP-2026-0020,TP-WT-001,Demineralisation Plant,3,164.29,492.86,8,In-house,28.6
BOM-00109,PRP-2026-0020,TP-PW-003,Back Pressure Steam Turbine,3,2615.29,7845.88,21,In-house,27.7
BOM-00110,PRP-2026-0020,TP-CP-003,RO Membrane Antiscalants,3,20.85,62.56,8,OEM,28.1
BOM-00111,PRP-2026-0020,TP-WT-001,Demineralisation Plant,2,165.76,331.52,18,OEM,25.3
BOM-00112,PRP-2026-0020,TP-SR-002,Annual Maintenance Contract Premium,4,150.36,601.43,20,In-house,23.6
BOM-00113,PRP-2026-0020,TP-WT-005,MEE Evaporator System,4,339.8,1359.19,26,In-house,25.5
BOM-00114,PRP-2026-0021,TP-CH-001,ProChill Absorption Chiller,2,251.17,502.34,25,OEM,14.6
BOM-00115,PRP-2026-0021,TP-RN-003,Green Hydrogen Electrolyser,1,2174.42,2174.42,10,In-house,19.1
BOM-00116,PRP-2026-0021,TP-AP-002,Bag Filter System,3,204.33,613.0,10,In-house,15.0
BOM-00117,PRP-2026-0021,TP-CP-002,Cooling Tower Chemicals Package,1,25.24,25.24,21,In-house,16.8
BOM-00118,PRP-2026-0021,TP-CH-003,Triple Effect Absorption Chiller,2,485.25,970.5,23,In-house,21.0
BOM-00119,PRP-2026-0022,TP-WT-001,Demineralisation Plant,2,136.72,273.45,30,In-house,16.9
BOM-00120,PRP-2026-0022,TP-CT-002,Crossflow Cooling Tower,2,95.07,190.14,29,In-house,19.0
BOM-00121,PRP-2026-0022,TP-SB-001,Shellmax Oil and Gas Boiler,2,181.99,363.98,20,OEM,28.5
BOM-00122,PRP-2026-0022,TP-CP-002,Cooling Tower Chemicals Package,3,31.45,94.34,23,In-house,22.3
BOM-00123,PRP-2026-0023,TP-CH-001,ProChill Absorption Chiller,3,297.51,892.53,22,Third-party,26.6
BOM-00124,PRP-2026-0023,TP-CT-002,Crossflow Cooling Tower,4,98.22,392.89,13,In-house,18.5
BOM-00125,PRP-2026-0023,TP-SR-004,Digital Monitoring Platform,4,120.67,482.7,29,OEM,26.6
BOM-00126,PRP-2026-0024,TP-SR-002,Annual Maintenance Contract Premium,1,152.11,152.11,13,Third-party,29.9
BOM-00127,PRP-2026-0024,TP-CP-003,RO Membrane Antiscalants,3,23.1,69.3,10,OEM,30.4
BOM-00128,PRP-2026-0024,TP-SR-003,Performance Enhancement Retrofit,1,281.41,281.41,10,In-house,23.1
BOM-00129,PRP-2026-0025,TP-SR-003,Performance Enhancement Retrofit,4,220.37,881.46,14,OEM,14.8
BOM-00130,PRP-2026-0025,TP-SB-002,Combloc Solid Fuel Boiler,1,255.21,255.21,29,In-house,20.9
BOM-00131,PRP-2026-0025,TP-SR-002,Annual Maintenance Contract Premium,2,159.89,319.77,8,Third-party,16.1
BOM-00132,PRP-2026-0025,TP-WT-001,Demineralisation Plant,3,152.41,457.22,22,In-house,22.3
BOM-00133,PRP-2026-0025,TP-CH-001,ProChill Absorption Chiller,2,303.26,606.52,22,OEM,22.5
BOM-00134,PRP-2026-0026,TP-WT-003,Zero Liquid Discharge System,2,1597.25,3194.49,27,In-house,17.2
BOM-00135,PRP-2026-0026,TP-CH-003,Triple Effect Absorption Chiller,4,432.26,1729.03,29,In-house,26.2
BOM-00136,PRP-2026-0026,TP-WT-002,Reverse Osmosis Plant,4,119.68,478.71,14,In-house,30.1
BOM-00137,PRP-2026-0026,TP-CP-003,RO Membrane Antiscalants,2,21.62,43.24,9,OEM,25.5
BOM-00138,PRP-2026-0026,TP-CH-002,ProChill Lithium Bromide Chiller,4,655.4,2621.62,22,In-house,24.8
BOM-00139,PRP-2026-0027,TP-SR-001,Annual Maintenance Contract Basic,2,95.93,191.87,19,OEM,17.6
BOM-00140,PRP-2026-0027,TP-SB-002,Combloc Solid Fuel Boiler,4,210.3,841.22,8,Third-party,28.8
BOM-00141,PRP-2026-0027,TP-SB-005,Waste Heat Recovery Boiler,2,773.58,1547.17,11,OEM,27.0
BOM-00142,PRP-2026-0028,TP-SR-003,Performance Enhancement Retrofit,1,268.2,268.2,18,OEM,25.3
BOM-00143,PRP-2026-0028,TP-AP-001,Electrostatic Precipitator,4,548.86,2195.45,11,OEM,17.8
BOM-00144,PRP-2026-0028,TP-PW-003,Back Pressure Steam Turbine,3,2570.95,7712.84,20,Third-party,14.2
BOM-00145,PRP-2026-0029,TP-RN-001,Biomass Gasifier,2,334.87,669.75,16,OEM,20.6
BOM-00146,PRP-2026-0029,TP-SB-005,Waste Heat Recovery Boiler,2,661.86,1323.73,32,OEM,23.0
BOM-00147,PRP-2026-0029,TP-CH-002,ProChill Lithium Bromide Chiller,2,573.86,1147.72,11,OEM,19.8
BOM-00148,PRP-2026-0029,TP-SR-001,Annual Maintenance Contract Basic,2,80.72,161.43,28,Third-party,31.6
BOM-00149,PRP-2026-0030,TP-RN-002,Solar Thermal System,1,646.36,646.36,27,OEM,22.1
BOM-00150,PRP-2026-0030,TP-CP-001,Process Chemicals Package,2,35.04,70.07,30,In-house,18.2
BOM-00151,PRP-2026-0030,TP-CH-003,Triple Effect Absorption Chiller,3,442.04,1326.12,21,OEM,25.2
BOM-00152,PRP-2026-0030,TP-SB-004,EPC Boiler 100 TPH,2,2694.6,5389.2,17,OEM,16.7
BOM-00153,PRP-2026-0030,TP-AP-001,Electrostatic Precipitator,1,446.89,446.89,31,OEM,31.8
BOM-00154,PRP-2026-0030,TP-SR-005,Spare Parts Contract,3,40.06,120.19,18,In-house,23.4
BOM-00155,PRP-2026-0030,TP-SR-003,Performance Enhancement Retrofit,3,263.42,790.25,15,Third-party,20.2
BOM-00156,PRP-2026-0030,TP-AP-001,Electrostatic Precipitator,1,544.16,544.16,29,OEM,28.4
BOM-00157,PRP-2026-0031,TP-AP-002,Bag Filter System,4,196.26,785.02,13,In-house,25.3
BOM-00158,PRP-2026-0031,TP-SB-005,Waste Heat Recovery Boiler,4,592.28,2369.11,14,In-house,25.4
BOM-00159,PRP-2026-0031,TP-WT-002,Reverse Osmosis Plant,2,110.96,221.92,13,OEM,23.9
BOM-00160,PRP-2026-0031,TP-AP-001,Electrostatic Precipitator,2,486.08,972.16,21,In-house,19.6
BOM-00161,PRP-2026-0031,TP-WT-005,MEE Evaporator System,2,376.22,752.45,27,OEM,19.5
BOM-00162,PRP-2026-0031,TP-SR-005,Spare Parts Contract,2,41.92,83.84,23,In-house,31.1
BOM-00163,PRP-2026-0031,TP-PW-004,Extraction Condensing Turbine,4,7513.86,30055.44,23,In-house,21.6
BOM-00164,PRP-2026-0031,TP-SR-004,Digital Monitoring Platform,2,136.99,273.97,23,In-house,27.7
BOM-00165,PRP-2026-0032,TP-CH-001,ProChill Absorption Chiller,3,293.14,879.41,12,OEM,27.1
BOM-00166,PRP-2026-0032,TP-AP-004,Selective Catalytic Reduction,4,771.49,3085.98,22,Third-party,20.8
BOM-00167,PRP-2026-0032,TP-RN-002,Solar Thermal System,1,645.98,645.98,30,In-house,17.5
BOM-00168,PRP-2026-0032,TP-WT-005,MEE Evaporator System,1,328.73,328.73,24,Third-party,22.8
BOM-00169,PRP-2026-0032,TP-SR-003,Performance Enhancement Retrofit,4,279.58,1118.32,19,In-house,22.8
BOM-00170,PRP-2026-0032,TP-SB-005,Waste Heat Recovery Boiler,4,758.54,3034.16,11,In-house,30.8
BOM-00171,PRP-2026-0033,TP-WT-005,MEE Evaporator System,4,437.79,1751.18,32,Third-party,23.2
BOM-00172,PRP-2026-0033,TP-RN-003,Green Hydrogen Electrolyser,3,2541.45,7624.34,28,In-house,30.7
BOM-00173,PRP-2026-0033,TP-AP-003,Flue Gas Desulphurisation,2,2185.3,4370.6,19,In-house,26.6
BOM-00174,PRP-2026-0033,TP-WT-002,Reverse Osmosis Plant,3,128.95,386.86,29,OEM,18.6
BOM-00175,PRP-2026-0034,TP-WT-003,Zero Liquid Discharge System,1,1283.28,1283.28,10,In-house,21.2
BOM-00176,PRP-2026-0034,TP-CH-001,ProChill Absorption Chiller,2,317.15,634.3,13,In-house,18.6
BOM-00177,PRP-2026-0034,TP-CT-002,Crossflow Cooling Tower,4,97.45,389.81,31,In-house,27.5
BOM-00178,PRP-2026-0034,TP-CH-001,ProChill Absorption Chiller,1,296.64,296.64,32,Third-party,28.7
BOM-00179,PRP-2026-0034,TP-AP-005,Scrubber System,2,186.29,372.57,20,Third-party,14.1
BOM-00180,PRP-2026-0034,TP-WT-003,Zero Liquid Discharge System,4,1233.19,4932.75,10,In-house,23.4
BOM-00181,PRP-2026-0034,TP-CT-001,Counterflow Cooling Tower,4,103.64,414.55,19,OEM,26.7
BOM-00182,PRP-2026-0035,TP-RN-003,Green Hydrogen Electrolyser,2,2401.88,4803.76,11,In-house,24.2
BOM-00183,PRP-2026-0035,TP-AP-001,Electrostatic Precipitator,2,441.49,882.97,31,OEM,28.6
BOM-00184,PRP-2026-0035,TP-WT-005,MEE Evaporator System,3,440.78,1322.34,21,In-house,25.3
BOM-00185,PRP-2026-0035,TP-CH-002,ProChill Lithium Bromide Chiller,2,541.84,1083.69,10,In-house,16.2
BOM-00186,PRP-2026-0036,TP-PW-002,Captive Power Plant 50 MW,1,25129.5,25129.5,23,In-house,26.1
BOM-00187,PRP-2026-0036,TP-CH-002,ProChill Lithium Bromide Chiller,1,538.36,538.36,32,In-house,26.0
BOM-00188,PRP-2026-0036,TP-SB-003,Thermopac Thermic Fluid Heater,1,123.3,123.3,8,In-house,24.9
BOM-00189,PRP-2026-0037,TP-RN-003,Green Hydrogen Electrolyser,4,2584.98,10339.91,27,In-house,20.1
BOM-00190,PRP-2026-0037,TP-PW-002,Captive Power Plant 50 MW,3,26828.83,80486.48,19,In-house,20.8
BOM-00191,PRP-2026-0037,TP-SB-004,EPC Boiler 100 TPH,3,3113.39,9340.16,11,In-house,22.2
BOM-00192,PRP-2026-0037,TP-SR-002,Annual Maintenance Contract Premium,2,141.52,283.04,11,OEM,19.0
BOM-00193,PRP-2026-0037,TP-AP-003,Flue Gas Desulphurisation,3,2168.27,6504.8,29,In-house,23.3
BOM-00194,PRP-2026-0038,TP-WT-005,MEE Evaporator System,1,441.15,441.15,18,In-house,25.4
BOM-00195,PRP-2026-0038,TP-SB-003,Thermopac Thermic Fluid Heater,3,142.21,426.62,15,OEM,22.7
BOM-00196,PRP-2026-0038,TP-CH-001,ProChill Absorption Chiller,3,278.84,836.51,23,In-house,27.2
BOM-00197,PRP-2026-0038,TP-CT-001,Counterflow Cooling Tower,2,122.31,244.62,24,OEM,28.1
BOM-00198,PRP-2026-0038,TP-CP-001,Process Chemicals Package,1,31.09,31.09,10,Third-party,29.0
BOM-00199,PRP-2026-0038,TP-RN-001,Biomass Gasifier,2,430.79,861.57,11,In-house,25.9
BOM-00200,PRP-2026-0038,TP-AP-003,Flue Gas Desulphurisation,2,2009.68,4019.37,32,In-house,15.9
BOM-00201,PRP-2026-0038,TP-SB-002,Combloc Solid Fuel Boiler,2,276.53,553.06,18,In-house,27.8
BOM-00202,PRP-2026-0039,TP-AP-004,Selective Catalytic Reduction,4,885.65,3542.61,29,In-house,26.0
BOM-00203,PRP-2026-0039,TP-CP-003,RO Membrane Antiscalants,4,19.3,77.19,30,Third-party,29.7
BOM-00204,PRP-2026-0039,TP-SB-005,Waste Heat Recovery Boiler,3,654.91,1964.73,30,In-house,25.8
BOM-00205,PRP-2026-0039,TP-SR-004,Digital Monitoring Platform,2,114.63,229.27,11,Third-party,15.6
BOM-00206,PRP-2026-0040,TP-PW-002,Captive Power Plant 50 MW,2,26297.94,52595.88,11,OEM,20.6
BOM-00207,PRP-2026-0040,TP-PW-001,Captive Power Plant 25 MW,4,11765.36,47061.45,8,Third-party,15.1
BOM-00208,PRP-2026-0040,TP-CP-003,RO Membrane Antiscalants,2,24.29,48.58,21,Third-party,27.9
BOM-00209,PRP-2026-0041,TP-WT-001,Demineralisation Plant,2,127.89,255.77,8,OEM,29.3
BOM-00210,PRP-2026-0041,TP-PW-001,Captive Power Plant 25 MW,2,12590.71,25181.42,17,OEM,23.0
BOM-00211,PRP-2026-0041,TP-RN-001,Biomass Gasifier,2,396.72,793.44,12,In-house,24.8
BOM-00212,PRP-2026-0041,TP-CT-002,Crossflow Cooling Tower,1,88.54,88.54,30,OEM,22.6
BOM-00213,PRP-2026-0041,TP-AP-001,Electrostatic Precipitator,4,454.66,1818.65,20,In-house,31.7
BOM-00214,PRP-2026-0041,TP-PW-002,Captive Power Plant 50 MW,2,26909.95,53819.91,14,OEM,26.6
BOM-00215,PRP-2026-0041,TP-SB-004,EPC Boiler 100 TPH,2,3099.69,6199.39,31,In-house,19.4
BOM-00216,PRP-2026-0041,TP-WT-003,Zero Liquid Discharge System,1,1470.86,1470.86,18,In-house,26.2
BOM-00217,PRP-2026-0042,TP-SR-002,Annual Maintenance Contract Premium,4,143.81,575.22,31,Third-party,19.1
BOM-00218,PRP-2026-0042,TP-WT-005,MEE Evaporator System,4,338.49,1353.96,18,OEM,29.6
BOM-00219,PRP-2026-0042,TP-SB-004,EPC Boiler 100 TPH,3,2764.33,8292.98,13,OEM,16.5
BOM-00220,PRP-2026-0042,TP-RN-002,Solar Thermal System,3,761.03,2283.1,14,OEM,28.5
BOM-00221,PRP-2026-0042,TP-WT-005,MEE Evaporator System,1,369.09,369.09,26,In-house,26.2
BOM-00222,PRP-2026-0043,TP-SR-001,Annual Maintenance Contract Basic,4,89.58,358.3,13,In-house,15.7
BOM-00223,PRP-2026-0043,TP-RN-002,Solar Thermal System,2,770.79,1541.59,11,OEM,25.7
BOM-00224,PRP-2026-0043,TP-SR-004,Digital Monitoring Platform,2,129.76,259.52,20,OEM,14.6
BOM-00225,PRP-2026-0043,TP-AP-003,Flue Gas Desulphurisation,4,2192.49,8769.97,30,OEM,31.2
BOM-00226,PRP-2026-0044,TP-SR-001,Annual Maintenance Contract Basic,1,92.08,92.08,28,In-house,19.0
BOM-00227,PRP-2026-0044,TP-SR-005,Spare Parts Contract,3,38.41,115.22,11,In-house,16.2
BOM-00228,PRP-2026-0044,TP-CP-001,Process Chemicals Package,2,29.99,59.98,26,OEM,22.6
BOM-00229,PRP-2026-0044,TP-CH-002,ProChill Lithium Bromide Chiller,2,598.42,1196.83,28,In-house,19.4
BOM-00230,PRP-2026-0044,TP-WT-001,Demineralisation Plant,1,137.4,137.4,30,OEM,17.3
BOM-00231,PRP-2026-0044,TP-SB-002,Combloc Solid Fuel Boiler,4,249.12,996.48,25,OEM,22.8
BOM-00232,PRP-2026-0044,TP-CP-002,Cooling Tower Chemicals Package,1,30.13,30.13,14,In-house,17.3
BOM-00233,PRP-2026-0044,TP-WT-004,MBR Sewage Treatment Plant,1,223.61,223.61,18,In-house,14.7
BOM-00234,PRP-2026-0045,TP-AP-001,Electrostatic Precipitator,2,425.03,850.06,16,In-house,15.5
BOM-00235,PRP-2026-0045,TP-CH-003,Triple Effect Absorption Chiller,3,460.35,1381.06,25,OEM,21.6
BOM-00236,PRP-2026-0045,TP-SB-001,Shellmax Oil and Gas Boiler,2,173.93,347.87,24,Third-party,25.9
