guarantee_id,proposal_id,parameter,unit,guaranteed_value,ai_simulated_value,tolerance_pct,test_method,signed_off_by,signoff_date,penalty_per_unit_shortfall_inr_lakh
PG-2026-00035,PRP-2026-0017,NOx Emission,mg/Nm3,117.19,114.16,3.0,ISO 15364,Shobha Chowdhury,2026-01-24,0.96
PG-2026-00036,PRP-2026-0017,Water Recovery,%,91.68,93.74,4.1,IS 13623,Amit Dutta,2026-03-24,1.7
PG-2026-00037,PRP-2026-0017,Water Recovery,%,91.68,92.57,3.1,ISO 15364,Deepak Naidu,2026-04-06,2.09
PG-2026-00038,PRP-2026-0018,SOx Emission,mg/Nm3,154.52,151.64,2.1,ISO 15364,Kiran Srivastava,2026-02-12,2.83
PG-2026-00039,PRP-2026-0019,NOx Emission,mg/Nm3,117.33,120.02,3.9,IPT Hydraulic,Ritu Tiwari,2026-04-04,1.49
PG-2026-00040,PRP-2026-0020,Water Recovery,%,86.23,87.46,4.5,IS 13623,Arun Bansal,2026-01-19,0.81
PG-2026-00041,PRP-2026-0020,Power Consumption,kW,1996.46,1976.35,3.1,ASME PTC-4,Tarun Ghosh,2026-02-21,2.0
PG-2026-00042,PRP-2026-0020,Power Consumption,kW,1996.46,2053.28,4.6,IS 13623,Archana Sharma,2026-01-30,2.08
PG-2026-00043,PRP-2026-0021,Power Consumption,kW,731.65,742.84,4.2,ASME PTC-4,Vivek Joshi,2026-02-18,2.71
PG-2026-00044,PRP-2026-0021,PM Emission,mg/Nm3,37.02,38.11,2.4,IPT Hydraulic,Aarti Pandey,2026-02-17,0.56
PG-2026-00045,PRP-2026-0022,Boiler Efficiency,%,87.41,85.56,2.9,IS 13623,Tarun Iyer,2026-03-02,2.74
PG-2026-00046,PRP-2026-0022,NOx Emission,mg/Nm3,192.87,193.77,3.9,IPT Hydraulic,Sarika Desai,2026-04-05,1.37
PG-2026-00047,PRP-2026-0023,PM Emission,mg/Nm3,33.48,34.26,2.9,IPT Hydraulic,Prakash Agarwal,2026-03-23,0.68
PG-2026-00048,PRP-2026-0023,Plant Availability,%,96.19,97.36,4.4,ASME PTC-4,Divya Dutta,2026-02-03,4.86
PG-2026-00049,PRP-2026-0024,SOx Emission,mg/Nm3,193.26,193.11,1.7,ISO 15364,Rajesh Dutta,2026-04-11,1.48
PG-2026-00050,PRP-2026-0024,Steam Output,TPH,97.19,94.59,2.6,IPT Hydraulic,Rakesh Sharma,2026-04-10,1.63
PG-2026-00051,PRP-2026-0025,Cooling Capacity,TR,1569.8,1577.82,1.8,IS 13623,Priya Ghosh,2026-03-02,1.62
PG-2026-00052,PRP-2026-0025,Cooling Capacity,TR,1569.8,1562.5,4.9,ASME PTC-4,Usha Khanna,2026-03-09,3.19
PG-2026-00053,PRP-2026-0026,Steam Output,TPH,70.46,69.6,4.7,IPT Hydraulic,Girish Nair,2026-02-27,4.02
PG-2026-00054,PRP-2026-0027,Water Recovery,%,91.07,88.48,3.5,IPT Hydraulic,Anjali Rao,2026-01-28,4.58
PG-2026-00055,PRP-2026-0027,NOx Emission,mg/Nm3,165.65,166.45,2.8,Customer protocol,Girish Chowdhury,2026-03-10,0.74
PG-2026-00056,PRP-2026-0028,Steam Output,TPH,69.65,68.95,1.8,ISO 15364,Bharat Ghosh,2026-01-18,1.99
PG-2026-00057,PRP-2026-0028,Boiler Efficiency,%,86.01,84.05,3.5,Customer protocol,Shalini Singh,2026-01-17,1.42
PG-2026-00058,PRP-2026-0029,Water Recovery,%,94.35,95.05,2.2,ASME PTC-4,Rajesh Iyer,2026-01-29,4.46
PG-2026-00059,PRP-2026-0030,NOx Emission,mg/Nm3,221.56,226.11,3.4,Customer protocol,Archana Bose,2026-01-22,3.28
PG-2026-00060,PRP-2026-0030,Cooling Capacity,TR,682.72,668.23,1.6,IS 13623,Sachin Kapoor,2026-03-26,2.8
PG-2026-00061,PRP-2026-0030,Plant Availability,%,99.42,97.63,3.2,ISO 15364,Tarun Gupta,2026-01-31,2.72
PG-2026-00062,PRP-2026-0031,SOx Emission,mg/Nm3,262.7,255.35,3.8,Customer protocol,Harish Kumar,2026-03-02,4.83
PG-2026-00063,PRP-2026-0031,Water Recovery,%,86.56,88.55,3.1,ASME PTC-4,Arun Trivedi,2026-02-11,4.35
PG-2026-00064,PRP-2026-0031,Plant Availability,%,96.75,95.07,4.7,Customer protocol,Ashok Mukherjee,2026-04-08,1.29
PG-2026-00065,PRP-2026-0032,Water Recovery,%,88.94,88.28,3.2,IS 13623,Bharat Mukherjee,2026-01-22,2.86
PG-2026-00066,PRP-2026-0033,Steam Output,TPH,62.17,62.17,3.9,ISO 15364,Dinesh Mehta,2026-03-17,0.97
PG-2026-00067,PRP-2026-0034,PM Emission,mg/Nm3,27.51,27.69,4.4,IS 13623,Anil Gupta,2026-01-17,2.52
PG-2026-00068,PRP-2026-0035,NOx Emission,mg/Nm3,122.92,119.87,1.6,ASME PTC-4,Neha Kumar,2026-03-30,4.52
PG-2026-00069,PRP-2026-0036,NOx Emission,mg/Nm3,137.92,138.5,3.2,ISO 15364,Rakesh Vaidya,2026-02-04,4.34
PG-2026-00070,PRP-2026-0036,Steam Output,TPH,60.28,60.06,3.7,ASME PTC-4,Bharat Shah,2026-03-31,4.02
PG-2026-00071,PRP-2026-0037,PM Emission,mg/Nm3,44.64,43.48,4.6,ISO 15364,Vikram Pillai,2026-02-02,1.59
PG-2026-00072,PRP-2026-0037,Plant Availability,%,96.76,99.26,3.3,IPT Hydraulic,Sujata Singh,2026-02-06,3.64
PG-2026-00073,PRP-2026-0038,NOx Emission,mg/Nm3,191.05,191.59,4.1,ASME PTC-4,Rohit Banerjee,2026-04-07,4.13
PG-2026-00074,PRP-2026-0039,Plant Availability,%,95.36,95.24,2.0,ASME PTC-4,Ravi Kumar,2026-02-12,2.78
PG-2026-00075,PRP-2026-0039,PM Emission,mg/Nm3,48.5,48.3,2.6,IS 13623,Amit Singh,2026-04-13,3.98
PG-2026-00076,PRP-2026-0039,NOx Emission,mg/Nm3,86.01,86.19,4.5,ASME PTC-4,Lakshmi Ghosh,2026-04-10,2.24
PG-2026-00077,PRP-2026-0040,Cooling Capacity,TR,1973.8,2023.31,2.3,ASME PTC-4,Nandita Sharma,2026-03-18,2.36
PG-2026-00078,PRP-2026-0040,Plant Availability,%,95.87,96.26,5.0,ASME PTC-4,Shobha Kapoor,2026-04-09,0.84
PG-2026-00079,PRP-2026-0041,Steam Output,TPH,34.0,33.13,4.8,IS 13623,Smita Trivedi,2026-03-19,2.5
PG-2026-00080,PRP-2026-0042,Cooling Capacity,TR,1546.66,1565.73,3.7,ISO 15364,Anjali Desai,2026-03-30,4.29
PG-2026-00081,PRP-2026-0042,Plant Availability,%,95.24,93.7,4.1,IS 13623,Deepak Pandey,2026-03-29,0.66
PG-2026-00082,PRP-2026-0043,Steam Output,TPH,67.79,66.0,4.5,IPT Hydraulic,Smita Verma,2026-02-27,2.23
PG-2026-00083,PRP-2026-0044,PM Emission,mg/Nm3,20.94,21.47,4.7,Customer protocol,Neha Verma,2026-03-04,3.77
PG-2026-00084,PRP-2026-0045,Plant Availability,%,98.05,97.84,3.5,Customer protocol,Vandana Chatterjee,2026-03-14,1.23
PG-2026-00085,PRP-2026-0045,Cooling Capacity,TR,1082.17,1080.04,5.0,IS 13623,Meera Sharma,2026-03-12,4.1
PG-2026-00086,PRP-2026-0045,SOx Emission,mg/Nm3,111.42,108.65,2.4,Customer protocol,Sneha Joshi,2026-02-02,2.28
PG-2026-00087,PRP-2026-0046,Power Consumption,kW,738.71,736.22,1.6,ASME PTC-4,Shweta Kumar,2026-03-02,2.66
PG-2026-00088,PRP-2026-0046,Plant Availability,%,98.76,97.09,1.7,ASME PTC-4,Prakash Vaidya,2026-02-05,1.91
PG-2026-00089,PRP-2026-0046,Steam Output,TPH,32.72,32.61,2.4,ISO 15364,Aarti Banerjee,2026-03-31,1.52
PG-2026-00090,PRP-2026-0047,NOx Emission,mg/Nm3,99.46,96.84,4.0,ISO 15364,Aarti Verma,2026-01-20,4.3
PG-2026-00091,PRP-2026-0048,Cooling Capacity,TR,616.18,600.33,3.0,ISO 15364,Suresh Verma,2026-03-06,3.23
PG-2026-00092,PRP-2026-0048,PM Emission,mg/Nm3,23.4,23.16,2.9,ISO 15364,Naveen Malhotra,2026-01-27,0.64
PG-2026-00093,PRP-2026-0049,PM Emission,mg/Nm3,44.24,45.41,2.8,Customer protocol,Priya Iyer,2026-02-27,3.93
PG-2026-00094,PRP-2026-0049,Steam Output,TPH,93.59,96.14,4.9,IS 13623,Bharat Mukherjee,2026-02-02,3.34
PG-2026-00095,PRP-2026-0050,SOx Emission,mg/Nm3,110.29,113.01,2.7,ISO 15364,Sanjay Dutta,2026-03-07,3.87
PG-2026-00096,PRP-2026-0050,Steam Output,TPH,75.44,76.31,3.1,IPT Hydraulic,Sarika Shah,2026-03-02,3.02
PG-2026-00097,PRP-2026-0050,Steam Output,TPH,75.44,77.32,3.8,Customer protocol,Sanjay Bose,2026-02-22,1.53
PG-2026-00098,PRP-2026-0051,Cooling Capacity,TR,1693.78,1685.76,4.9,Customer protocol,Smita Pillai,2026-03-24,4.44
PG-2026-00099,PRP-2026-0052,Power Consumption,kW,1948.95,2006.24,2.0,Customer protocol,Hari Mishra,2026-02-21,2.09
PG-2026-00100,PRP-2026-0053,Steam Output,TPH,30.21,30.64,2.7,IPT Hydraulic,Hari Yadav,2026-01-26,2.52
PG-2026-00101,PRP-2026-0053,Cooling Capacity,TR,1413.14,1395.27,3.2,IS 13623,Jitendra Nair,2026-01-31,4.62
PG-2026-00102,PRP-2026-0054,Steam Output,TPH,90.4,88.94,3.2,ASME PTC-4,Bharat Chatterjee,2026-02-08,3.11
PG-2026-00103,PRP-2026-0054,Cooling Capacity,TR,1157.88,1142.96,2.8,IS 13623,Suresh Kumar,2026-03-21,2.44
PG-2026-00104,PRP-2026-0054,SOx Emission,mg/Nm3,229.88,230.92,3.7,ASME PTC-4,Rakesh Malhotra,2026-03-26,1.03
PG-2026-00105,PRP-2026-0055,Steam Output,TPH,28.57,28.07,4.4,IS 13623,Amit Srivastava,2026-04-11,4.82
PG-2026-00106,PRP-2026-0055,Plant Availability,%,96.25,96.47,2.2,IPT Hydraulic,Rekha Verma,2026-02-28,1.41
