ncr_id,project_id,raised_date,component,defect_description,severity,ai_disposition,human_disposition,rework_required,closed_date,status
NCR-2026-0042,PRJ-2026-0041,2026-04-19,Pressure Parts,Documentation gap,Medium,Repair,Reject,Yes,2026-03-12,Open
NCR-2026-0043,PRJ-2026-0009,2026-03-05,Electrical Panel,Dimension deviation,High,Reject,Concession,Yes,2026-03-20,Closed
NCR-2026-0044,PRJ-2026-0038,2026-03-05,Control System,Material mismatch,Low,Repair,Repair,No,2026-03-13,Open
NCR-2026-0045,PRJ-2026-0055,2026-04-04,Boiler Drum,Weld defect,Low,Concession,Rework,No,2026-01-29,Pending Approval
NCR-2026-0046,PRJ-2026-0054,2026-04-10,Instrumentation,Surface finish,Medium,Rework,Rework with conditions,Yes,2026-01-14,Closed
NCR-2026-0047,PRJ-2026-0036,2025-12-12,Electrical Panel,Surface finish,High,Rework,Repair,Yes,2026-04-07,Closed
NCR-2026-0048,PRJ-2026-0025,2025-12-29,Piping,Material mismatch,High,Concession,Rework,Yes,2026-03-16,Open
NCR-2026-0049,PRJ-2026-0030,2025-12-27,Instrumentation,Material mismatch,Medium,Rework,Repair,Yes,2026-02-05,Closed
NCR-2026-0050,PRJ-2026-0050,2026-02-01,Ducting,Hydrostatic failure,High,Rework,Repair,Yes,2026-03-22,Pending Approval
NCR-2026-0051,PRJ-2026-0043,2026-04-19,Ducting,Documentation gap,Medium,Use-as-is,Use-as-is,Yes,2026-02-14,Closed
NCR-2026-0052,PRJ-2026-0005,2025-12-24,Insulation,Weld defect,Medium,Concession,Repair,Yes,2026-04-21,Pending Approval
NCR-2026-0053,PRJ-2026-0008,2026-01-23,Ducting,Surface finish,Low,Concession,Rework,No,2026-03-29,Closed
NCR-2026-0054,PRJ-2026-0028,2026-03-09,Pressure Parts,Material mismatch,Medium,Rework,Use-as-is,Yes,2026-02-13,Closed
NCR-2026-0055,PRJ-2026-0034,2025-12-17,Boiler Drum,Leak test failure,Low,Concession,Rework,No,2026-02-25,Closed
