progress_id,project_id,week_number,report_date,planned_progress_pct,actual_progress_pct,schedule_variance_pct,agent_slippage_alert,site_manager_comment,escalation_required
SP-00044,PRJ-2026-0006,5,2026-01-26,34.85,30.13,-4.72,No,Ahead of schedule,No
SP-00045,PRJ-2026-0006,6,2026-02-02,56.01,54.07,-1.95,No,Material pending,No
SP-00046,PRJ-2026-0006,7,2026-02-09,43.61,38.19,-5.43,Yes,Resource constraint,No
SP-00047,PRJ-2026-0006,8,2026-02-16,76.95,69.54,-7.41,Yes,Material pending,No
SP-00048,PRJ-2026-0006,9,2026-02-23,85.1,77.3,-7.8,Yes,Resource constraint,No
SP-00049,PRJ-2026-0006,10,2026-03-02,78.41,76.62,-1.79,No,Ahead of schedule,No
SP-00050,PRJ-2026-0006,11,2026-03-09,81.91,80.23,-1.69,No,Good progress,No
SP-00051,PRJ-2026-0007,1,2025-12-29,10.96,9.37,-1.59,No,Material pending,No
SP-00052,PRJ-2026-0007,2,2026-01-05,19.56,19.33,-0.23,No,Ahead of schedule,No
SP-00053,PRJ-2026-0007,3,2026-01-12,27.37,28.26,0.89,No,Ahead of schedule,No
SP-00054,PRJ-2026-0007,4,2026-01-19,35.05,33.71,-1.35,No,On track,No
SP-00055,PRJ-2026-0007,5,2026-01-26,52.23,47.48,-4.75,No,Resource constraint,No
SP-00056,PRJ-2026-0007,6,2026-02-02,47.52,49.99,2.47,No,Minor delay,No
SP-00057,PRJ-2026-0007,7,2026-02-09,53.56,46.69,-6.87,Yes,Ahead of schedule,No
SP-00058,PRJ-2026-0007,8,2026-02-16,68.02,63.42,-4.59,No,Minor delay,No
SP-00059,PRJ-2026-0007,9,2026-02-23,94.07,87.27,-6.81,Yes,Weather impact,No
SP-00060,PRJ-2026-0007,10,2026-03-02,99.03,99.57,0.54,No,Material pending,No
SP-00061,PRJ-2026-0007,11,2026-03-09,97.02,99.58,2.57,No,Material pending,No
SP-00062,PRJ-2026-0008,1,2025-12-29,10.95,8.15,-2.8,No,Good progress,No
SP-00063,PRJ-2026-0008,2,2026-01-05,13.18,13.58,0.4,No,Good progress,No
SP-00064,PRJ-2026-0008,3,2026-01-12,24.63,24.87,0.24,No,Resource constraint,No
SP-00065,PRJ-2026-0008,4,2026-01-19,42.86,42.83,-0.03,No,Weather impact,No
SP-00066,PRJ-2026-0009,1,2025-12-29,9.25,11.13,1.88,No,Good progress,No
SP-00067,PRJ-2026-0009,2,2026-01-05,20.97,21.3,0.33,No,Ahead of schedule,No
SP-00068,PRJ-2026-0009,3,2026-01-12,18.05,13.84,-4.21,No,Good progress,No
SP-00069,PRJ-2026-0009,4,2026-01-19,26.36,19.92,-6.43,Yes,Weather impact,No
SP-00070,PRJ-2026-0009,5,2026-01-26,30.75,31.6,0.85,No,Material pending,No
SP-00071,PRJ-2026-0009,6,2026-02-02,53.72,49.66,-4.05,No,Material pending,No
SP-00072,PRJ-2026-0009,7,2026-02-09,65.13,58.16,-6.97,Yes,Resource constraint,No
SP-00073,PRJ-2026-0009,8,2026-02-16,63.13,59.61,-3.52,No,Ahead of schedule,No
SP-00074,PRJ-2026-0009,9,2026-02-23,63.75,61.93,-1.82,No,On track,No
SP-00075,PRJ-2026-0010,1,2025-12-29,9.83,10.71,0.88,No,Resource constraint,No
SP-00076,PRJ-2026-0010,2,2026-01-05,15.37,17.53,2.16,No,Weather impact,No
SP-00077,PRJ-2026-0010,3,2026-01-12,30.65,31.2,0.55,No,Resource constraint,No
SP-00078,PRJ-2026-0010,4,2026-01-19,26.98,25.44,-1.54,No,Ahead of schedule,No
SP-00079,PRJ-2026-0010,5,2026-01-26,42.73,41.61,-1.11,No,Ahead of schedule,No
SP-00080,PRJ-2026-0010,6,2026-02-02,36.88,39.44,2.55,No,Ahead of schedule,No
SP-00081,PRJ-2026-0011,1,2025-12-29,6.0,5.35,-0.66,No,Resource constraint,No
SP-00082,PRJ-2026-0011,2,2026-01-05,15.91,17.64,1.74,No,On track,No
SP-00083,PRJ-2026-0011,3,2026-01-12,19.75,22.53,2.78,No,Resource constraint,No
SP-00084,PRJ-2026-0011,4,2026-01-19,28.04,20.93,-7.11,Yes,Ahead of schedule,No
SP-00085,PRJ-2026-0011,5,2026-01-26,45.3,46.36,1.06,No,On track,No
SP-00086,PRJ-2026-0011,6,2026-02-02,64.36,60.49,-3.87,No,Resource constraint,No
SP-00087,PRJ-2026-0011,7,2026-02-09,64.69,57.57,-7.12,Yes,Ahead of schedule,No
SP-00088,PRJ-2026-0012,1,2025-12-29,6.27,2.76,-3.51,No,Ahead of schedule,No
SP-00089,PRJ-2026-0012,2,2026-01-05,18.3,12.45,-5.85,Yes,Good progress,No
SP-00090,PRJ-2026-0012,3,2026-01-12,24.17,17.75,-6.42,Yes,Minor delay,No
SP-00091,PRJ-2026-0012,4,2026-01-19,36.75,31.72,-5.03,Yes,Material pending,No
SP-00092,PRJ-2026-0012,5,2026-01-26,41.07,36.16,-4.9,No,On track,No
SP-00093,PRJ-2026-0012,6,2026-02-02,57.43,54.37,-3.06,No,Good progress,No
SP-00094,PRJ-2026-0012,7,2026-02-09,56.11,57.61,1.49,No,Resource constraint,No
SP-00095,PRJ-2026-0012,8,2026-02-16,53.49,45.7,-7.79,Yes,Good progress,No
SP-00096,PRJ-2026-0012,9,2026-02-23,93.26,93.24,-0.03,No,Material pending,No
SP-00097,PRJ-2026-0013,1,2025-12-29,10.91,9.13,-1.78,No,Ahead of schedule,No
SP-00098,PRJ-2026-0013,2,2026-01-05,19.78,12.03,-7.75,Yes,On track,No
SP-00099,PRJ-2026-0013,3,2026-01-12,32.55,26.74,-5.82,Yes,Minor delay,No
SP-00100,PRJ-2026-0013,4,2026-01-19,25.78,19.24,-6.54,Yes,Weather impact,No
SP-00101,PRJ-2026-0014,1,2025-12-29,7.01,9.09,2.07,No,On track,No
SP-00102,PRJ-2026-0014,2,2026-01-05,16.67,18.87,2.2,No,On track,No
SP-00103,PRJ-2026-0014,3,2026-01-12,21.07,24.03,2.96,No,Good progress,No
SP-00104,PRJ-2026-0014,4,2026-01-19,26.03,24.67,-1.37,No,Material pending,No
SP-00105,PRJ-2026-0014,5,2026-01-26,32.82,33.07,0.25,No,Ahead of schedule,No
SP-00106,PRJ-2026-0014,6,2026-02-02,51.4,50.76,-0.63,No,Material pending,No
SP-00107,PRJ-2026-0015,1,2025-12-29,8.73,11.47,2.74,No,On track,No
SP-00108,PRJ-2026-0015,2,2026-01-05,13.9,10.83,-3.08,No,Weather impact,No
SP-00109,PRJ-2026-0015,3,2026-01-12,21.97,14.51,-7.46,Yes,Ahead of schedule,No
SP-00110,PRJ-2026-0015,4,2026-01-19,35.58,28.1,-7.47,Yes,Weather impact,No
SP-00111,PRJ-2026-0015,5,2026-01-26,42.76,45.46,2.7,No,Material pending,No
SP-00112,PRJ-2026-0015,6,2026-02-02,44.26,47.21,2.94,No,Material pending,No
SP-00113,PRJ-2026-0015,7,2026-02-09,49.17,43.92,-5.25,Yes,Material pending,No
SP-00114,PRJ-2026-0015,8,2026-02-16,66.82,60.01,-6.81,Yes,Material pending,No
SP-00115,PRJ-2026-0015,9,2026-02-23,87.34,84.84,-2.5,No,Minor delay,No
SP-00116,PRJ-2026-0015,10,2026-03-02,63.76,64.93,1.17,No,Material pending,No
SP-00117,PRJ-2026-0015,11,2026-03-09,100,98.48,-1.52,No,On track,No
SP-00118,PRJ-2026-0016,1,2025-12-29,7.31,9.54,2.24,No,Minor delay,No
SP-00119,PRJ-2026-0016,2,2026-01-05,17.73,13.47,-4.26,No,Ahead of schedule,No
SP-00120,PRJ-2026-0016,3,2026-01-12,28.97,27.64,-1.33,No,Ahead of schedule,No
SP-00121,PRJ-2026-0016,4,2026-01-19,32.52,33.61,1.09,No,On track,No
SP-00122,PRJ-2026-0016,5,2026-01-26,51.2,45.15,-6.05,Yes,Material pending,No
SP-00123,PRJ-2026-0016,6,2026-02-02,36.87,31.39,-5.48,Yes,Good progress,No
SP-00124,PRJ-2026-0016,7,2026-02-09,42.8,43.44,0.64,No,Material pending,No
SP-00125,PRJ-2026-0017,1,2025-12-29,8.27,7.97,-0.3,No,Ahead of schedule,No
SP-00126,PRJ-2026-0017,2,2026-01-05,21.38,15.98,-5.4,Yes,Resource constraint,No
SP-00127,PRJ-2026-0017,3,2026-01-12,29.7,23.31,-6.39,Yes,Weather impact,No
SP-00128,PRJ-2026-0017,4,2026-01-19,39.29,35.43,-3.86,No,On track,No
SP-00129,PRJ-2026-0017,5,2026-01-26,46.47,40.35,-6.12,Yes,Good progress,No
SP-00130,PRJ-2026-0018,1,2025-12-29,7.64,1.39,-6.25,Yes,Good progress,No
SP-00131,PRJ-2026-0018,2,2026-01-05,20.73,16.76,-3.97,No,Resource constraint,No
SP-00132,PRJ-2026-0018,3,2026-01-12,32.83,35.14,2.31,No,Material pending,No
SP-00133,PRJ-2026-0018,4,2026-01-19,35.39,35.45,0.06,No,On track,No
SP-00134,PRJ-2026-0018,5,2026-01-26,54.54,48.07,-6.47,Yes,Material pending,No
SP-00135,PRJ-2026-0018,6,2026-02-02,58.65,61.15,2.5,No,Minor delay,No
SP-00136,PRJ-2026-0018,7,2026-02-09,57.05,55.75,-1.3,No,Ahead of schedule,No
SP-00137,PRJ-2026-0018,8,2026-02-16,69.87,62.05,-7.82,Yes,Minor delay,No
SP-00138,PRJ-2026-0018,9,2026-02-23,94.15,86.56,-7.58,Yes,Ahead of schedule,No
SP-00139,PRJ-2026-0019,1,2025-12-29,10.76,10.37,-0.39,No,Good progress,No
SP-00140,PRJ-2026-0019,2,2026-01-05,20.42,17.18,-3.24,No,Resource constraint,No
SP-00141,PRJ-2026-0019,3,2026-01-12,32.54,31.67,-0.87,No,Resource constraint,No
SP-00142,PRJ-2026-0019,4,2026-01-19,30.75,30.84,0.09,No,Good progress,No
SP-00143,PRJ-2026-0020,1,2025-12-29,7.42,4.39,-3.03,No,Ahead of schedule,No
SP-00144,PRJ-2026-0020,2,2026-01-05,19.51,11.91,-7.61,Yes,On track,No
SP-00145,PRJ-2026-0020,3,2026-01-12,23.35,17.32,-6.03,Yes,Material pending,No
SP-00146,PRJ-2026-0020,4,2026-01-19,31.81,25.97,-5.84,Yes,On track,No
SP-00147,PRJ-2026-0020,5,2026-01-26,53.35,50.32,-3.03,No,Ahead of schedule,No
SP-00148,PRJ-2026-0021,1,2025-12-29,10.82,3.52,-7.3,Yes,Material pending,No
SP-00149,PRJ-2026-0021,2,2026-01-05,18.1,15.52,-2.58,No,Ahead of schedule,No
SP-00150,PRJ-2026-0021,3,2026-01-12,27.35,29.42,2.07,No,Good progress,No
SP-00151,PRJ-2026-0021,4,2026-01-19,40.91,42.12,1.21,No,Weather impact,No
SP-00152,PRJ-2026-0021,5,2026-01-26,42.9,37.06,-5.84,Yes,Ahead of schedule,No
SP-00153,PRJ-2026-0022,1,2025-12-29,7.59,5.36,-2.23,No,Good progress,No
SP-00154,PRJ-2026-0022,2,2026-01-05,13.86,12.74,-1.12,No,Weather impact,No
SP-00155,PRJ-2026-0022,3,2026-01-12,18.78,13.74,-5.04,Yes,Good progress,No
SP-00156,PRJ-2026-0022,4,2026-01-19,41.89,37.86,-4.04,No,Material pending,No
SP-00157,PRJ-2026-0022,5,2026-01-26,48.19,43.84,-4.35,No,Resource constraint,No
SP-00158,PRJ-2026-0022,6,2026-02-02,37.15,36.55,-0.6,No,Weather impact,No
SP-00159,PRJ-2026-0022,7,2026-02-09,73.49,67.43,-6.07,Yes,Ahead of schedule,No
SP-00160,PRJ-2026-0022,8,2026-02-16,62.98,57.74,-5.24,Yes,Material pending,No
SP-00161,PRJ-2026-0022,9,2026-02-23,80.71,74.87,-5.84,Yes,Ahead of schedule,No
SP-00162,PRJ-2026-0022,10,2026-03-02,100,95.24,-4.76,No,Good progress,No
SP-00163,PRJ-2026-0022,11,2026-03-09,100,99.52,-0.48,No,Ahead of schedule,No
SP-00164,PRJ-2026-0022,12,2026-03-16,95.48,97.01,1.53,No,Resource constraint,No
SP-00165,PRJ-2026-0023,1,2025-12-29,7.7,1.51,-6.19,Yes,Good progress,No
SP-00166,PRJ-2026-0023,2,2026-01-05,18.81,14.41,-4.39,No,Good progress,No
SP-00167,PRJ-2026-0023,3,2026-01-12,32.84,30.16,-2.68,No,Material pending,No
SP-00168,PRJ-2026-0023,4,2026-01-19,27.35,25.68,-1.67,No,Resource constraint,No
SP-00169,PRJ-2026-0023,5,2026-01-26,35.54,35.18,-0.36,No,Resource constraint,No
SP-00170,PRJ-2026-0024,1,2025-12-29,6.51,7.98,1.46,No,Resource constraint,No
SP-00171,PRJ-2026-0024,2,2026-01-05,19.11,15.17,-3.94,No,Good progress,No
SP-00172,PRJ-2026-0024,3,2026-01-12,25.34,20.24,-5.11,Yes,Ahead of schedule,No
SP-00173,PRJ-2026-0024,4,2026-01-19,35.17,27.35,-7.83,Yes,Ahead of schedule,No
SP-00174,PRJ-2026-0024,5,2026-01-26,42.19,41.68,-0.52,No,Minor delay,No
SP-00175,PRJ-2026-0024,6,2026-02-02,36.23,31.6,-4.63,No,Good progress,No
SP-00176,PRJ-2026-0024,7,2026-02-09,73.29,74.35,1.07,No,Ahead of schedule,No
SP-00177,PRJ-2026-0024,8,2026-02-16,52.53,49.82,-2.71,No,Minor delay,No
SP-00178,PRJ-2026-0024,9,2026-02-23,56.11,53.85,-2.26,No,Resource constraint,No
SP-00179,PRJ-2026-0025,1,2025-12-29,7.35,-0.24,-7.59,Yes,Minor delay,No
SP-00180,PRJ-2026-0025,2,2026-01-05,15.95,8.92,-7.03,Yes,Material pending,No
SP-00181,PRJ-2026-0025,3,2026-01-12,19.61,20.72,1.1,No,On track,No
SP-00182,PRJ-2026-0025,4,2026-01-19,28.33,22.24,-6.09,Yes,Ahead of schedule,No
SP-00183,PRJ-2026-0025,5,2026-01-26,40.49,40.49,0.01,No,Minor delay,No
SP-00184,PRJ-2026-0025,6,2026-02-02,59.96,56.88,-3.08,No,On track,No
SP-00185,PRJ-2026-0025,7,2026-02-09,42.56,41.39,-1.17,No,Good progress,No
SP-00186,PRJ-2026-0026,1,2025-12-29,7.42,7.88,0.47,No,On track,No
SP-00187,PRJ-2026-0026,2,2026-01-05,19.76,13.71,-6.05,Yes,Resource constraint,No
SP-00188,PRJ-2026-0026,3,2026-01-12,25.94,28.91,2.97,No,Resource constraint,No
SP-00189,PRJ-2026-0026,4,2026-01-19,25.2,25.26,0.06,No,Ahead of schedule,No
SP-00190,PRJ-2026-0026,5,2026-01-26,41.95,36.94,-5.01,Yes,Minor delay,No
SP-00191,PRJ-2026-0027,1,2025-12-29,8.63,10.05,1.42,No,Material pending,No
SP-00192,PRJ-2026-0027,2,2026-01-05,13.63,7.13,-6.49,Yes,Resource constraint,No
SP-00193,PRJ-2026-0027,3,2026-01-12,30.14,31.04,0.9,No,Material pending,No
SP-00194,PRJ-2026-0027,4,2026-01-19,25.17,20.74,-4.43,No,Ahead of schedule,No
SP-00195,PRJ-2026-0027,5,2026-01-26,48.86,46.79,-2.07,No,Weather impact,No
SP-00196,PRJ-2026-0027,6,2026-02-02,61.88,55.4,-6.48,Yes,Resource constraint,No
SP-00197,PRJ-2026-0027,7,2026-02-09,53.8,53.95,0.15,No,Resource constraint,No
SP-00198,PRJ-2026-0027,8,2026-02-16,73.29,73.35,0.06,No,Weather impact,No
SP-00199,PRJ-2026-0027,9,2026-02-23,89.85,85.34,-4.51,No,Minor delay,No
SP-00200,PRJ-2026-0027,10,2026-03-02,85.1,80.45,-4.65,No,On track,No
SP-00201,PRJ-2026-0027,11,2026-03-09,100,96.71,-3.29,No,On track,No
SP-00202,PRJ-2026-0027,12,2026-03-16,80.17,81.53,1.36,No,On track,No
SP-00203,PRJ-2026-0028,1,2025-12-29,10.01,6.11,-3.9,No,Resource constraint,No
SP-00204,PRJ-2026-0028,2,2026-01-05,18.47,13.03,-5.45,Yes,Minor delay,No
SP-00205,PRJ-2026-0028,3,2026-01-12,27.64,28.72,1.08,No,Ahead of schedule,No
SP-00206,PRJ-2026-0028,4,2026-01-19,30.52,26.01,-4.51,No,On track,No
SP-00207,PRJ-2026-0028,5,2026-01-26,38.1,35.39,-2.71,No,Good progress,No
SP-00208,PRJ-2026-0028,6,2026-02-02,54.99,53.1,-1.89,No,Good progress,No
SP-00209,PRJ-2026-0029,1,2025-12-29,7.42,2.55,-4.87,No,Material pending,No
SP-00210,PRJ-2026-0029,2,2026-01-05,17.86,20.81,2.95,No,Minor delay,No
SP-00211,PRJ-2026-0029,3,2026-01-12,25.49,26.85,1.35,No,Material pending,No
SP-00212,PRJ-2026-0029,4,2026-01-19,32.98,31.99,-0.99,No,Good progress,No
SP-00213,PRJ-2026-0029,5,2026-01-26,53.74,52.81,-0.93,No,Good progress,No
SP-00214,PRJ-2026-0030,1,2025-12-29,6.65,7.95,1.31,No,Weather impact,No
SP-00215,PRJ-2026-0030,2,2026-01-05,14.88,17.33,2.45,No,Resource constraint,No
SP-00216,PRJ-2026-0030,3,2026-01-12,21.28,22.23,0.95,No,Good progress,No
SP-00217,PRJ-2026-0030,4,2026-01-19,26.67,27.87,1.2,No,Minor delay,No
SP-00218,PRJ-2026-0031,1,2025-12-29,10.39,9.49,-0.9,No,Resource constraint,No
SP-00219,PRJ-2026-0031,2,2026-01-05,12.93,9.07,-3.85,No,On track,No
SP-00220,PRJ-2026-0031,3,2026-01-12,25.79,22.36,-3.43,No,Minor delay,No
SP-00221,PRJ-2026-0031,4,2026-01-19,28.08,26.16,-1.92,No,On track,No
SP-00222,PRJ-2026-0031,5,2026-01-26,43.31,43.75,0.44,No,Resource constraint,No
SP-00223,PRJ-2026-0031,6,2026-02-02,57.19,56.5,-0.68,No,Ahead of schedule,No
SP-00224,PRJ-2026-0032,1,2025-12-29,10.5,7.78,-2.72,No,Weather impact,No
SP-00225,PRJ-2026-0032,2,2026-01-05,19.47,15.46,-4.0,No,Material pending,No
SP-00226,PRJ-2026-0032,3,2026-01-12,20.03,13.74,-6.3,Yes,Weather impact,No
SP-00227,PRJ-2026-0032,4,2026-01-19,26.85,19.84,-7.01,Yes,Material pending,No
SP-00228,PRJ-2026-0032,5,2026-01-26,52.49,50.58,-1.91,No,Material pending,No
SP-00229,PRJ-2026-0032,6,2026-02-02,37.59,39.15,1.56,No,On track,No
SP-00230,PRJ-2026-0033,1,2025-12-29,6.88,3.91,-2.97,No,Minor delay,No
SP-00231,PRJ-2026-0033,2,2026-01-05,16.43,16.32,-0.11,No,Resource constraint,No
SP-00232,PRJ-2026-0033,3,2026-01-12,27.83,30.46,2.63,No,Weather impact,No
SP-00233,PRJ-2026-0033,4,2026-01-19,27.64,21.34,-6.29,Yes,Good progress,No
SP-00234,PRJ-2026-0033,5,2026-01-26,40.3,34.18,-6.12,Yes,Good progress,No
SP-00235,PRJ-2026-0033,6,2026-02-02,48.81,44.41,-4.4,No,Good progress,No
SP-00236,PRJ-2026-0033,7,2026-02-09,52.61,50.7,-1.92,No,Minor delay,No
SP-00237,PRJ-2026-0033,8,2026-02-16,83.87,79.44,-4.42,No,Good progress,No
SP-00238,PRJ-2026-0033,9,2026-02-23,97.39,98.07,0.68,No,Weather impact,No
SP-00239,PRJ-2026-0033,10,2026-03-02,87.8,83.19,-4.61,No,On track,No
SP-00240,PRJ-2026-0033,11,2026-03-09,92.9,91.99,-0.91,No,Minor delay,No
SP-00241,PRJ-2026-0034,1,2025-12-29,10.04,5.23,-4.81,No,Resource constraint,No
SP-00242,PRJ-2026-0034,2,2026-01-05,15.33,16.85,1.52,No,Resource constraint,No
SP-00243,PRJ-2026-0034,3,2026-01-12,28.73,22.01,-6.72,Yes,Resource constraint,No
SP-00244,PRJ-2026-0034,4,2026-01-19,40.5,41.96,1.47,No,On track,No
SP-00245,PRJ-2026-0034,5,2026-01-26,34.67,28.59,-6.08,Yes,Minor delay,No
SP-00246,PRJ-2026-0034,6,2026-02-02,37.66,32.37,-5.29,Yes,Ahead of schedule,No
SP-00247,PRJ-2026-0035,1,2025-12-29,10.55,10.46,-0.09,No,Material pending,No
SP-00248,PRJ-2026-0035,2,2026-01-05,19.08,20.07,0.99,No,Resource constraint,No
SP-00249,PRJ-2026-0035,3,2026-01-12,32.27,34.67,2.4,No,Minor delay,No
SP-00250,PRJ-2026-0035,4,2026-01-19,26.98,27.92,0.94,No,Minor delay,No
SP-00251,PRJ-2026-0035,5,2026-01-26,49.83,46.2,-3.63,No,Resource constraint,No
SP-00252,PRJ-2026-0035,6,2026-02-02,41.65,34.07,-7.59,Yes,Weather impact,No
SP-00253,PRJ-2026-0035,7,2026-02-09,68.63,66.01,-2.62,No,Resource constraint,No
SP-00254,PRJ-2026-0035,8,2026-02-16,68.14,69.64,1.5,No,Weather impact,No
SP-00255,PRJ-2026-0035,9,2026-02-23,84.76,84.39,-0.37,No,Good progress,No
SP-00256,PRJ-2026-0035,10,2026-03-02,85.72,79.75,-5.97,Yes,On track,No
SP-00257,PRJ-2026-0035,11,2026-03-09,100,100,0,No,Minor delay,No
SP-00258,PRJ-2026-0035,12,2026-03-16,73.04,75.8,2.76,No,Material pending,No
SP-00259,PRJ-2026-0036,1,2025-12-29,10.07,11.48,1.41,No,On track,No
SP-00260,PRJ-2026-0036,2,2026-01-05,16.6,12.42,-4.18,No,Minor delay,No
SP-00261,PRJ-2026-0036,3,2026-01-12,31.08,29.36,-1.72,No,On track,No
SP-00262,PRJ-2026-0036,4,2026-01-19,39.58,38.65,-0.93,No,Ahead of schedule,No
SP-00263,PRJ-2026-0036,5,2026-01-26,53.17,55.53,2.36,No,Good progress,No
SP-00264,PRJ-2026-0037,1,2025-12-29,6.46,0.65,-5.81,Yes,Good progress,No
SP-00265,PRJ-2026-0037,2,2026-01-05,20.68,18.3,-2.37,No,Resource constraint,No
SP-00266,PRJ-2026-0037,3,2026-01-12,30.35,32.38,2.03,No,Material pending,No
SP-00267,PRJ-2026-0037,4,2026-01-19,25.65,25.21,-0.45,No,On track,No
SP-00268,PRJ-2026-0038,1,2025-12-29,6.73,-0.74,-7.47,Yes,Good progress,No
SP-00269,PRJ-2026-0038,2,2026-01-05,13.52,7.8,-5.72,Yes,Ahead of schedule,No
SP-00270,PRJ-2026-0038,3,2026-01-12,28.3,28.01,-0.3,No,Material pending,No
SP-00271,PRJ-2026-0038,4,2026-01-19,33.33,32.59,-0.74,No,On track,No
SP-00272,PRJ-2026-0038,5,2026-01-26,45.15,45.35,0.21,No,On track,No
SP-00273,PRJ-2026-0039,1,2025-12-29,7.91,1.06,-6.85,Yes,On track,No
SP-00274,PRJ-2026-0039,2,2026-01-05,13.21,13.15,-0.06,No,Minor delay,No
SP-00275,PRJ-2026-0039,3,2026-01-12,28.84,28.12,-0.72,No,Minor delay,No
SP-00276,PRJ-2026-0039,4,2026-01-19,27.96,26.81,-1.15,No,On track,No
SP-00277,PRJ-2026-0039,5,2026-01-26,37.34,31.46,-5.88,Yes,Weather impact,No
SP-00278,PRJ-2026-0040,1,2025-12-29,8.68,7.94,-0.74,No,Good progress,No
SP-00279,PRJ-2026-0040,2,2026-01-05,20.77,21.69,0.92,No,Minor delay,No
SP-00280,PRJ-2026-0040,3,2026-01-12,29.47,24.57,-4.9,No,On track,No
SP-00281,PRJ-2026-0040,4,2026-01-19,29.69,30.38,0.69,No,Good progress,No
SP-00282,PRJ-2026-0040,5,2026-01-26,43.12,45.26,2.14,No,Resource constraint,No
