brief_id,signal_id,customer_id,account_tier,pain_points,value_hypothesis,proposed_solutions,estimated_deal_size_inr_cr,created_date,agent_id,agent_confidence,approved_by,approval_date,status
BRF-2026-0017,SIG-2026-0032,CUST-0003,Tier 1,Ageing utility infrastructure; Cooling water scarcity,Reduce energy cost by 21% and cut emissions by 19%,Electrostatic Precipitator; Performance Enhancement Retrofit,5,2025-12-09,AGT-MKT-01,0.905,Hari Ghosh,2026-04-03,Approved
BRF-2026-0018,SIG-2026-0067,CUST-0014,Tier 2,Ageing utility infrastructure; Energy intensity above benchmark; High carbon footprint; Cooling water scarcity,Reduce energy cost by 13% and cut emissions by 29%,Captive Power Plant 50 MW; RO Membrane Antiscalants; Back Pressure Steam Turbine,200,2026-02-08,AGT-MKT-01,0.872,Manish Kapoor,2026-02-06,Pending
BRF-2026-0019,SIG-2026-0039,CUST-0015,Tier 2,Emission norm non-compliance; Data visibility gaps; Statutory audit gaps; Ageing utility infrastructure,Reduce energy cost by 18% and cut emissions by 30%,Scrubber System; Counterflow Cooling Tower,25,2026-03-16,AGT-MKT-01,0.865,Girish Mishra,2026-01-07,Approved
BRF-2026-0020,SIG-2026-0019,CUST-0019,Tier 2,Low boiler efficiency; Cooling water scarcity; Ageing utility infrastructure; Manual O&M overhead,Reduce energy cost by 16% and cut emissions by 38%,Electrostatic Precipitator; MEE Evaporator System,2,2025-11-30,AGT-MKT-01,0.804,Lakshmi Chopra,2026-03-14,Approved
BRF-2026-0021,SIG-2026-0031,CUST-0016,Tier 3,Emission norm non-compliance; Manual O&M overhead; Rising Scope 1 emissions; High fuel costs,Reduce energy cost by 11% and cut emissions by 28%,Solar Thermal System; ProChill Lithium Bromide Chiller,2,2026-03-12,AGT-MKT-01,0.751,Lakshmi Menon,2026-01-04,Revised
BRF-2026-0022,SIG-2026-0062,CUST-0042,Tier 2,Water discharge issues; Manual O&M overhead; High fuel costs,Reduce energy cost by 10% and cut emissions by 35%,Bag Filter System; RO Membrane Antiscalants; Thermopac Thermic Fluid Heater,15,2026-03-03,AGT-MKT-01,0.834,Rekha Nair,2026-04-09,Revised
BRF-2026-0023,SIG-2026-0064,CUST-0012,Tier 1,Water discharge issues; Chemical consumption excess,Reduce energy cost by 11% and cut emissions by 25%,Biomass Gasifier; RO Membrane Antiscalants,25,2025-12-03,AGT-MKT-01,0.849,Meera Mukherjee,2025-12-20,Approved
BRF-2026-0024,SIG-2026-0025,CUST-0052,Tier 2,Data visibility gaps; Ageing utility infrastructure,Reduce energy cost by 16% and cut emissions by 37%,Shellmax Oil and Gas Boiler,5,2026-01-20,AGT-MKT-01,0.908,Bharat Pillai,2026-03-05,Pending
BRF-2026-0025,SIG-2026-0052,CUST-0053,Tier 3,Low boiler efficiency; High carbon footprint; Manual O&M overhead,Reduce energy cost by 11% and cut emissions by 20%,Solar Thermal System,80,2026-01-24,AGT-MKT-01,0.937,Rajesh Khanna,2026-01-10,Approved
BRF-2026-0026,SIG-2026-0058,CUST-0049,Tier 2,Chemical consumption excess; Data visibility gaps; Rising Scope 1 emissions,Reduce energy cost by 8% and cut emissions by 23%,Extraction Condensing Turbine; Flue Gas Desulphurisation; EPC Boiler 100 TPH,25,2026-03-17,AGT-MKT-01,0.843,Arun Tiwari,2025-12-11,Approved
BRF-2026-0027,SIG-2026-0016,CUST-0041,Tier 2,Emission norm non-compliance; Rising Scope 1 emissions; Frequent unplanned shutdowns; Ageing utility infrastructure,Reduce energy cost by 12% and cut emissions by 29%,Extraction Condensing Turbine; Performance Enhancement Retrofit; Solar Thermal System,25,2025-11-30,AGT-MKT-01,0.91,Sachin Desai,2026-02-14,Pending
BRF-2026-0028,SIG-2026-0011,CUST-0034,Tier 3,Cooling water scarcity; Low boiler efficiency; Chemical consumption excess; Statutory audit gaps,Reduce energy cost by 9% and cut emissions by 32%,MEE Evaporator System; RO Membrane Antiscalants; Reverse Osmosis Plant,120,2026-03-05,AGT-MKT-01,0.816,Kiran Bose,2026-03-20,Approved
BRF-2026-0029,SIG-2026-0063,CUST-0006,Tier 2,Ageing utility infrastructure; Frequent unplanned shutdowns,Reduce energy cost by 24% and cut emissions by 28%,EPC Boiler 100 TPH; Biomass Gasifier,200,2026-01-28,AGT-MKT-01,0.895,Ritu Khanna,2026-04-18,Approved
BRF-2026-0030,SIG-2026-0010,CUST-0003,Tier 2,Low boiler efficiency; Energy intensity above benchmark; High fuel costs; Rising Scope 1 emissions,Reduce energy cost by 23% and cut emissions by 16%,Performance Enhancement Retrofit; MBR Sewage Treatment Plant,80,2026-03-13,AGT-MKT-01,0.903,Jitendra Yadav,2026-01-13,Revised
BRF-2026-0031,SIG-2026-0058,CUST-0025,Tier 1,Manual O&M overhead; Energy intensity above benchmark; Frequent unplanned shutdowns; Rising Scope 1 emissions,Reduce energy cost by 19% and cut emissions by 18%,RO Membrane Antiscalants,80,2026-01-06,AGT-MKT-01,0.856,Jitendra Mehta,2026-04-18,Approved
BRF-2026-0032,SIG-2026-0039,CUST-0030,Tier 2,High carbon footprint; Emission norm non-compliance; Statutory audit gaps; Ageing utility infrastructure,Reduce energy cost by 19% and cut emissions by 19%,MEE Evaporator System; Triple Effect Absorption Chiller,200,2026-04-08,AGT-MKT-01,0.912,Mukesh Vaidya,2026-04-14,Approved
BRF-2026-0033,SIG-2026-0027,CUST-0005,Tier 3,Ageing utility infrastructure; Chemical consumption excess,Reduce energy cost by 9% and cut emissions by 22%,Thermopac Thermic Fluid Heater; Annual Maintenance Contract Premium; Spare Parts Contract,5,2026-02-16,AGT-MKT-01,0.858,Dinesh Singh,2026-03-14,Pending
BRF-2026-0034,SIG-2026-0038,CUST-0015,Tier 3,Statutory audit gaps; Manual O&M overhead; Cooling water scarcity; Emission norm non-compliance,Reduce energy cost by 17% and cut emissions by 19%,Cooling Tower Chemicals Package; Bag Filter System; Performance Enhancement Retrofit,45,2026-01-30,AGT-MKT-01,0.805,Lakshmi Saxena,2026-03-05,Revised
BRF-2026-0035,SIG-2026-0064,CUST-0004,Tier 3,High carbon footprint; Statutory audit gaps; Energy intensity above benchmark; Cooling water scarcity,Reduce energy cost by 21% and cut emissions by 28%,Crossflow Cooling Tower,45,2026-01-10,AGT-MKT-01,0.787,Girish Ghosh,2026-02-16,Approved
BRF-2026-0036,SIG-2026-0039,CUST-0046,Tier 2,Energy intensity above benchmark; High carbon footprint,Reduce energy cost by 21% and cut emissions by 32%,Demineralisation Plant; Annual Maintenance Contract Basic; Flue Gas Desulphurisation,8,2026-02-10,AGT-MKT-01,0.791,Preeti Shah,2025-12-24,Approved
BRF-2026-0037,SIG-2026-0012,CUST-0035,Tier 1,High carbon footprint; Manual O&M overhead; Chemical consumption excess,Reduce energy cost by 9% and cut emissions by 17%,Electrostatic Precipitator,15,2025-12-15,AGT-MKT-01,0.792,Hari Joshi,2026-01-31,Approved
BRF-2026-0038,SIG-2026-0028,CUST-0013,Tier 3,Emission norm non-compliance; Data visibility gaps; Chemical consumption excess,Reduce energy cost by 14% and cut emissions by 27%,Captive Power Plant 25 MW,5,2026-02-03,AGT-MKT-01,0.826,Girish Trivedi,2026-01-30,Approved
BRF-2026-0039,SIG-2026-0047,CUST-0033,Tier 2,Statutory audit gaps; Data visibility gaps,Reduce energy cost by 23% and cut emissions by 39%,Electrostatic Precipitator; Extraction Condensing Turbine,120,2026-01-26,AGT-MKT-01,0.833,Bharat Mehta,2026-03-12,Approved
BRF-2026-0040,SIG-2026-0034,CUST-0036,Tier 2,Emission norm non-compliance; Cooling water scarcity,Reduce energy cost by 15% and cut emissions by 27%,Flue Gas Desulphurisation; Green Hydrogen Electrolyser; Captive Power Plant 50 MW,80,2026-02-10,AGT-MKT-01,0.903,Smita Banerjee,2025-12-22,Approved
BRF-2026-0041,SIG-2026-0046,CUST-0011,Tier 3,Ageing utility infrastructure; Frequent unplanned shutdowns; Energy intensity above benchmark; Manual O&M overhead,Reduce energy cost by 9% and cut emissions by 31%,Waste Heat Recovery Boiler,8,2026-04-04,AGT-MKT-01,0.903,Mukesh Rao,2026-02-18,Approved
BRF-2026-0042,SIG-2026-0020,CUST-0001,Tier 3,Cooling water scarcity; High fuel costs; Chemical consumption excess,Reduce energy cost by 23% and cut emissions by 36%,Combloc Solid Fuel Boiler; Shellmax Oil and Gas Boiler,15,2025-12-01,AGT-MKT-01,0.86,Rajesh Verma,2025-12-04,Approved
BRF-2026-0043,SIG-2026-0069,CUST-0019,Tier 3,Manual O&M overhead; High carbon footprint; Frequent unplanned shutdowns; Low boiler efficiency,Reduce energy cost by 11% and cut emissions by 31%,Flue Gas Desulphurisation,2,2026-02-26,AGT-MKT-01,0.874,Aarti Trivedi,2026-02-09,Revised
BRF-2026-0044,SIG-2026-0011,CUST-0024,Tier 2,Emission norm non-compliance; Data visibility gaps; Rising Scope 1 emissions; Water discharge issues,Reduce energy cost by 10% and cut emissions by 35%,Thermopac Thermic Fluid Heater; ProChill Absorption Chiller; Annual Maintenance Contract Premium,80,2026-01-09,AGT-MKT-01,0.825,Naveen Singh,2026-04-16,Approved
BRF-2026-0045,SIG-2026-0011,CUST-0032,Tier 3,Chemical consumption excess; Low boiler efficiency; Energy intensity above benchmark,Reduce energy cost by 9% and cut emissions by 22%,Solar Thermal System,80,2026-02-06,AGT-MKT-01,0.759,Vikram Chopra,2026-04-10,Approved
BRF-2026-0046,SIG-2026-0041,CUST-0002,Tier 3,Statutory audit gaps; Data visibility gaps,Reduce energy cost by 20% and cut emissions by 17%,Zero Liquid Discharge System; Flue Gas Desulphurisation,15,2025-11-22,AGT-MKT-01,0.917,Ashok Pillai,2026-01-24,Revised
BRF-2026-0047,SIG-2026-0018,CUST-0051,Tier 3,Cooling water scarcity; High fuel costs; Low boiler efficiency; High carbon footprint,Reduce energy cost by 15% and cut emissions by 17%,Annual Maintenance Contract Premium; Captive Power Plant 25 MW,5,2026-04-09,AGT-MKT-01,0.877,Ajay Bose,2025-12-14,Approved
BRF-2026-0048,SIG-2026-0046,CUST-0036,Tier 2,Manual O&M overhead; Chemical consumption excess,Reduce energy cost by 20% and cut emissions by 17%,Counterflow Cooling Tower; Flue Gas Desulphurisation; Waste Heat Recovery Boiler,80,2026-03-26,AGT-MKT-01,0.804,Ashok Iyer,2026-01-09,Approved
BRF-2026-0049,SIG-2026-0047,CUST-0007,Tier 1,Ageing utility infrastructure; Cooling water scarcity; Water discharge issues,Reduce energy cost by 11% and cut emissions by 19%,MBR Sewage Treatment Plant,5,2025-12-27,AGT-MKT-01,0.84,Lakshmi Mukherjee,2026-01-04,Approved
BRF-2026-0050,SIG-2026-0004,CUST-0006,Tier 3,Chemical consumption excess; Rising Scope 1 emissions,Reduce energy cost by 18% and cut emissions by 27%,Counterflow Cooling Tower,45,2026-01-01,AGT-MKT-01,0.828,Anjali Naidu,2026-02-15,Pending
BRF-2026-0051,SIG-2026-0067,CUST-0011,Tier 1,Water discharge issues; Rising Scope 1 emissions,Reduce energy cost by 16% and cut emissions by 30%,Waste Heat Recovery Boiler,80,2026-03-05,AGT-MKT-01,0.837,Mukesh Agarwal,2025-12-16,Approved
BRF-2026-0052,SIG-2026-0047,CUST-0017,Tier 3,Ageing utility infrastructure; Chemical consumption excess; Statutory audit gaps; Emission norm non-compliance,Reduce energy cost by 22% and cut emissions by 18%,Crossflow Cooling Tower,15,2026-04-15,AGT-MKT-01,0.94,Pooja Vaidya,2026-01-11,Approved
BRF-2026-0053,SIG-2026-0057,CUST-0022,Tier 3,Frequent unplanned shutdowns; Water discharge issues; Cooling water scarcity; Chemical consumption excess,Reduce energy cost by 14% and cut emissions by 30%,MBR Sewage Treatment Plant; Annual Maintenance Contract Premium,80,2026-01-25,AGT-MKT-01,0.808,Shashi Banerjee,2026-02-15,Approved
BRF-2026-0054,SIG-2026-0049,CUST-0018,Tier 2,Chemical consumption excess; Emission norm non-compliance,Reduce energy cost by 25% and cut emissions by 20%,Combloc Solid Fuel Boiler; Biomass Gasifier; Electrostatic Precipitator,80,2025-12-25,AGT-MKT-01,0.91,Rekha Patel,2026-01-04,Revised
BRF-2026-0055,SIG-2026-0018,CUST-0041,Tier 1,Manual O&M overhead; Frequent unplanned shutdowns; Data visibility gaps,Reduce energy cost by 21% and cut emissions by 40%,Waste Heat Recovery Boiler; Spare Parts Contract,25,2025-12-15,AGT-MKT-01,0.866,Girish Mukherjee,2026-01-01,Pending
BRF-2026-0056,SIG-2026-0005,CUST-0051,Tier 3,Chemical consumption excess; Manual O&M overhead; Low boiler efficiency; Data visibility gaps,Reduce energy cost by 15% and cut emissions by 36%,Back Pressure Steam Turbine; Zero Liquid Discharge System; Thermopac Thermic Fluid Heater,45,2025-11-23,AGT-MKT-01,0.947,Archana Tiwari,2026-01-24,Revised
BRF-2026-0057,SIG-2026-0014,CUST-0001,Tier 2,Energy intensity above benchmark; Data visibility gaps,Reduce energy cost by 24% and cut emissions by 32%,Bag Filter System; Spare Parts Contract; Extraction Condensing Turbine,5,2026-01-06,AGT-MKT-01,0.843,Archana Saxena,2025-12-11,Approved
BRF-2026-0058,SIG-2026-0045,CUST-0002,Tier 1,High carbon footprint; Low boiler efficiency; Statutory audit gaps,Reduce energy cost by 12% and cut emissions by 26%,Captive Power Plant 50 MW; Biomass Gasifier,120,2026-02-23,AGT-MKT-01,0.854,Rakesh Ghosh,2026-03-25,Revised
BRF-2026-0059,SIG-2026-0058,CUST-0021,Tier 2,Statutory audit gaps; Data visibility gaps,Reduce energy cost by 11% and cut emissions by 15%,ProChill Lithium Bromide Chiller; Zero Liquid Discharge System,5,2026-02-13,AGT-MKT-01,0.853,Lakshmi Menon,2026-01-24,Pending
BRF-2026-0060,SIG-2026-0055,CUST-0030,Tier 2,Frequent unplanned shutdowns; Rising Scope 1 emissions; Manual O&M overhead; Data visibility gaps,Reduce energy cost by 21% and cut emissions by 27%,MEE Evaporator System,15,2025-12-22,AGT-MKT-01,0.868,Ashok Sharma,2026-02-23,Approved
