extraction_id,project_id,drawing_id,drawing_type,element_type,tag_or_id,description,value_text,line_ref,confidence_0_1,review_flag,remarks
DE-040,PRJ-2026-0006,DRG-SK-006,Hand_Sketch,Interlock,IL-60,FGD trip on low pH slurry,DCS interlock,Sketch zone C,0.72,REVIEW,Handwritten sketch; confirm pH trip setpoint
DE-041,PRJ-2026-0007,DRG-PID-DM-001,P_and_ID,Equipment,DMP-701,DM plant RO system,50 m3/hr permeate,DMP-701-RO,0.9,,
DE-042,PRJ-2026-0007,DRG-PID-DM-001,P_and_ID,Equipment,MB-701,Mixed bed polisher,Cation + Anion resin,MB-701-POL,0.88,,
DE-043,PRJ-2026-0007,DRG-PID-DM-001,P_and_ID,Instrument,AT-701,Conductivity analyzer post MB,0-10 uS/cm,AT-701-COND,0.92,,
DE-044,PRJ-2026-0007,DRG-PID-DM-001,P_and_ID,Instrument,FT-701,RO permeate flow,0-60 m3/hr,FT-701-PERM,0.86,,
DE-045,PRJ-2026-0008,DRG-PID-BLR-008,P_and_ID,Equipment,BLR-801,AFBC Boiler 120 TPH,Design P 110 kg/cm2 T 540C,BLR-801-MAIN,0.94,,
DE-046,PRJ-2026-0008,DRG-PID-BLR-008,P_and_ID,Equipment,SH-801,Superheater assembly,SA213 T91 + TP347H,SH-801-ASSY,0.91,,
DE-047,PRJ-2026-0008,DRG-PID-BLR-008,P_and_ID,Instrument,AT-801,Stack NOx analyzer,0-500 mg/Nm3,AT-801-NOX,0.83,,
DE-048,PRJ-2026-0008,DRG-PID-BLR-008,P_and_ID,Valve,CV-801,Attemperator spray valve,DN50 forged SS316,CV-801-ATT,0.85,,
DE-049,PRJ-2026-0008,DRG-GA-SH-008,Equipment_Drawing,Nozzle,N8,SH outlet nozzle,DN250 RF SA335 P91,GA-SH-NOZL,0.88,,
DE-050,PRJ-2026-0009,DRG-PID-CFBC-001,P_and_ID,Equipment,BLR-901,CFBC Boiler 150 TPH,Design P 87 kg/cm2 T 540C,BLR-901-MAIN,0.92,,
DE-051,PRJ-2026-0009,DRG-PID-CFBC-001,P_and_ID,Equipment,CYC-901,Hot cyclone separator,Refractory lined CS,CYC-901-SEP,0.87,,
DE-052,PRJ-2026-0009,DRG-PID-CFBC-001,P_and_ID,Instrument,PT-901,Furnace draft pressure,Range -100 to +50 mmWC,PT-901-FURN,0.81,,
DE-053,PRJ-2026-0010,DRG-PID-CT-001,P_and_ID,Equipment,CT-1001,Cooling tower natural draft,Capacity 2000 TR,CT-1001-ND,0.79,REVIEW,Verify cooling tower type against spec
DE-054,PRJ-2026-0011,DRG-PFD-PP-001,PFD,ProcessStage,STG-PP,Power plant steam cycle,Turbine inlet 87 kg/cm2 540C,PFD-TG,0.93,,
DE-055,PRJ-2026-0012,DRG-PID-BF-001,P_and_ID,Equipment,BF-1201,Bag filter pulse jet,Gas flow 150000 Nm3/hr,BF-1201-PJ,0.86,,
