deviation_id,project_id,requirement,expected_value,extracted_value,status,deviation_detail,recommended_action,source
DV-028,PRJ-2026-0006,FGD scrubber capacity,250000 Nm3/hr,250000 Nm3/hr on PID,Match,,None,PID FGD-601 vs design basis
DV-029,PRJ-2026-0006,SO2 removal efficiency,95% per guarantee,TBD,Gap,PG test not done,Schedule FGD performance test,DP-034 vs PG document
DV-030,PRJ-2026-0006,SO2 analyzer range,0-200 mg/Nm3 per CPCB,0-200 mg/Nm3 on IDS,Match,,None,AT-601 vs measurement requirement
DV-031,PRJ-2026-0006,Slurry valve type,Pinch valve per process,DN250 pinch valve on PID,REVIEW,Confirm suitability for abrasive slurry,Get valve vendor confirmation on slurry duty,REVIEW flag DE-039
DV-032,PRJ-2026-0006,FGD pH interlock,Required per process,IL-60 on sketch,REVIEW,Trip setpoint not confirmed,Confirm pH trip setpoint with process,REVIEW flag DE-040
DV-033,PRJ-2026-0006,Limestone consumption rate,3.5 TPH per stoichiometry,TBD on actual SO2,UNCLEAR,Depends on coal sulfur content,Monitor during operation and adjust,DP-035
DV-034,PRJ-2026-0007,DM plant permeate quality,Conductivity less than 0.1 uS/cm,0.1 uS/cm on spec,Match,,None,DP-040 vs BFW spec
DV-035,PRJ-2026-0007,RO membrane recovery,Min 75%,75% on vendor data,Match,,None,DP-039 vs membrane spec
DV-036,PRJ-2026-0007,Silica in product water,Max 20 ppb,TBD,UNCLEAR,Analyzer not yet procured,Procure online silica analyzer,DP-041
DV-037,PRJ-2026-0007,Post MB conductivity analyzer,Required for BFW monitoring,AT-701 on PID,Match,,None,PID AT-701 vs instrument index
DV-038,PRJ-2026-0008,Boiler design pressure per IBR,Min 110 kg/cm2,110 kg/cm2 on datasheet,Match,,None,EDS-012 vs IBR calculation
DV-039,PRJ-2026-0008,Main steam temperature,540C per design basis,540C on design basis,Match,,None,DP-045 vs performance guarantee
DV-040,PRJ-2026-0008,Superheater material ASME code,SA213 T91 per ASME Sec II,SA213 T91 + TP347H on EDS,Match,,TP347H for final stage,EDS-013 vs ASME material spec
DV-041,PRJ-2026-0008,Stack NOx per CPCB 2024,100 mg/Nm3 max,TBD,Gap,Not tested post commissioning,Install CEMS and conduct emission test,DP-047 vs CPCB norm
DV-042,PRJ-2026-0008,Stack PM per CPCB 2024,30 mg/Nm3 max,TBD,Gap,ESP + bag filter performance unknown,Conduct isokinetic PM test,DP-048 vs CPCB norm
DV-043,PRJ-2026-0008,Deaerator design pressure,3.5 kg/cm2 per spec,3.5 kg/cm2 on datasheet,Match,,None,EDS-014 vs design basis
DV-044,PRJ-2026-0008,FGD material SS316L,SS316L per corrosion study,SS316L + Rubber lined CS,OK,Additional rubber lining for protection,Confirm dual protection with corrosion engineer,EDS-015 vs material spec
DV-045,PRJ-2026-0008,Attemperator spray valve,DN50 forged SS316,DN50 forged SS316 on PID,Match,,None,PID CV-801 vs spec
DV-046,PRJ-2026-0009,CFBC bed temperature,850C per combustion design,840-860C range extracted,OK,Within acceptable band,Monitor during operation,DP-050 vs design
DV-047,PRJ-2026-0009,CFBC design pressure,87 kg/cm2 per spec,87 kg/cm2 on PID,Match,,None,PID BLR-901 vs design basis
DV-048,PRJ-2026-0009,Cyclone separator MOC,Refractory lined CS per spec,Refractory lined CS on PID,Match,,None,PID CYC-901 vs material spec
DV-049,PRJ-2026-0009,Limestone to coal ratio,3:1 per sorbent analysis,TBD,UNCLEAR,Sulfur content varies by coal source,Conduct sorbent optimization trial,DP-051
DV-050,PRJ-2026-0009,Furnace draft measurement range,-100 to +50 mmWC,Same on IDS,Match,,None,IDS PT-901 vs instrument spec
DV-051,PRJ-2026-0010,Cooling tower capacity,2000 TR per spec,2000 TR on PID,Match,,None,PID CT-1001 vs design basis
DV-052,PRJ-2026-0010,CT approach temperature,5C per design,4.8C extracted,OK,Slightly better than design,None,DP-053 vs CT vendor data
DV-053,PRJ-2026-0011,Turbine inlet conditions,87 kg/cm2 540C per TG spec,Same on PFD,Match,,None,PFD-TG vs turbine datasheet
DV-054,PRJ-2026-0011,Instrument tagging per ISA standard,100% compliance,85% tags verified,REVIEW,15% tags need cross-check,Complete instrument index verification,Instrument index audit
DV-055,PRJ-2026-0012,Bag filter air to cloth ratio,1.0 m/min per design,0.95 on design basis,OK,Conservative design margin,None,DP-055 vs BF vendor data
