Level,Item,Description,Revision,Type,Status,Engineering Item,Item Seq,Op Seq,Alternate,Engineering Bill,Comments,UOM,Basis,Quantity,Planning %,Yield,Extended Quantity,Effectivity Control,From,To,From Date,To Date,Disabled,Implemented,ECO,Supply Type,Subinventory,Locator,Costed,Unit Cost,Extended Quantity,Extended Cost,Operation Seq,Manufacturing,Offset,Cumulative Manufacuturing,Cumulative Total,Optional,Mutually Exclusive,ATP,Min Qty,Max Qty,Sales Order Basis,Shippable,Include on Ship Docs,Required To Ship,Required For Revenue
2,-  W630414G05,LIME HANDLING SYSTEM,1,SOS Dummy,Active,,4,1,,,,LOT,Item,1,100,1,1,Date,,,2024-10-28,,,*,WVO-763209,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WQBGAA1476,"LIME HANDLING SYSTEM, TAG NO.: NO TAG, SERVICE: LIME HANDLING SYSTEM, AS PER DOC NO.: WHMIA00085",0,Finished good,Active,,1,1,,,,SET,Item,1,100,1,1,Date,,,2024-10-28,,,*,WVO-763209,Push,,,,,1,,1,180,,,,,,,,,None,*,,,
1,-  W630414K01,SPARES,3,SOS Dummy,Active,,2,1,,,,LOT,Item,1,100,1,1,Date,,,2024-11-06,,,*,WVO-763464,Push,,,,,1,,1,,,,,,,,,,None,,,,
2,-  W630414K02,SPARE FOR BOUGHTOUT ITEMS,1,SOS Dummy,Active,,1,1,,,,LOT,Item,1,100,1,1,Date,,,2024-11-06,,,*,WVO-763464,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WQ4AA99944,SPARE FOR AGITATOR FOR 630414_RIL REMIN PROJECT,0,Finished good,Active,,1,1,,,,LOT,Item,1,100,1,1,Date,,,2024-11-06,,,*,WVO-763464,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA99945,SPARE FOR DOSING PUMP FOR 630414_RIL REMIN PROJECT,0,Finished good,Active,,2,1,,,,LOT,Item,1,100,1,1,Date,,,2024-11-06,,,*,WVO-763464,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA99946,SPARE FOR CO2 SYSTEM FOR 630414_RIL REMIN PROJECT,0,Finished good,Active,,3,1,,,,LOT,Item,1,100,1,1,Date,,,2024-11-06,,,*,WVO-763464,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA99947,SPARE FOR LIME HANDLING SYSTEM FOR 630414_RIL REMIN PROJECT,0,Finished good,Active,,4,1,,,,LOT,Item,1,100,1,1,Date,,,2024-11-06,,,*,WVO-763464,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
2,-  W630414K03,SPARE FOR VALVES,1,SOS Dummy,Active,,2,1,,,,LOT,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WQ4AA98063,"SPARE SEAL KIT (BODY SEAT & SEAL, STEM SEAL & WASHER) FOR 1/2"" BALL VALVE",0,Finished good,Active,,1,1,,,,NOS,Item,3,100,1,3,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,3,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98064,"SPARE SEAL KIT (BODY SEAT & SEAL, STEM SEAL & WASHER) FOR 3/4"" BALL VALVE",0,Finished good,Active,,2,1,,,,NOS,Item,4,100,1,4,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,4,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98065,"SPARE SEAL KIT (BODY SEAT & SEAL, STEM SEAL & WASHER) FOR 1"" BALL VALVE",0,Finished good,Active,,3,1,,,,NOS,Item,5,100,1,5,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,5,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98066,"SPARE SEAL KIT (BODY SEAT & SEAL, STEM SEAL & WASHER) FOR 2"" BALL VALVE",0,Finished good,Active,,4,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98067,"SPARE SEAL KIT (BODY SEAT & SEAL, STEM SEAL & WASHER) FOR 3"" BALL VALVE",0,Finished good,Active,,5,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98068,"SPARE SEAL KIT (SEAT, O-RING, WASHER, CIRCLIP) FOR 2"" BUTTERFLY VALVE",0,Finished good,Active,,6,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98069,"SPARE SEAL KIT (SEAT, O-RING, WASHER, CIRCLIP) FOR 3"" BUTTERFLY VALVE",0,Finished good,Active,,7,1,,,,NOS,Item,2,100,1,2,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,2,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98070,"SPARE SEAL KIT (SEAT, O-RING, WASHER, CIRCLIP) FOR 4"" BUTTERFLY VALVE",0,Finished good,Active,,8,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98071,"SPARE SEAL KIT (SEAT, O-RING, WASHER, CIRCLIP) FOR 6"" BUTTERFLY VALVE",0,Finished good,Active,,9,1,,,,NOS,Item,3,100,1,3,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,3,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98072,"SPARE SEAL KIT (SEAT, O-RING, WASHER, CIRCLIP) FOR 8"" BUTTERFLY VALVE",0,Finished good,Active,,10,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98073,"SPARE SOV ""WPTISX8307B005SL.24/DC.26976.CCOE"" MAKE-ASCO",0,Finished good,Active,,11,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98074,"SPARE LIMIT SWITCH ""TVH-E20GNPM0000P"", MAKE-TOPWORX",0,Finished good,Active,,12,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98075,"SPARE AFR ""NORGREN B72G-2AS-980 1/4NPT""",0,Finished good,Active,,13,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98076,"SPARE SEAL KIT FOR 1"" CHECK VALVE",0,Finished good,Active,,14,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
3,WQ4AA98077,"SPARE SEAL KIT FOR 2"" CHECK VALVE",0,Finished good,Active,,15,1,,,,NOS,Item,1,100,1,1,Date,,,2025-02-14,,,*,WVO-767796,Push,,,,,1,,1,90,,,,,,,,,None,*,,,
2,-  W630414K04,SPARES FOR MEDIA,1,SOS Dummy,Active,,3,1,,,,LOT,Item,1,100,1,1,Date,,,2025-03-12,,,*,WVO-768767,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WMEADA1002,10-3 MM PEBBLES; AS PER DOC. NO; WGMMD00004,0,Finished good,Active,,1,1,,,,CUM,Item,0.24,100,1,0.24,Date,,,2025-03-12,,,*,WVO-768767,Push,,,,,0.24,,1,60,,,,,,,,,None,*,,,
3,WMEACA1002,12-6 MM PEBBLES; AS PER DOC. NO; WGMMD00003,0,Finished good,Active,,2,1,,,,CUM,Item,0.24,100,1,0.24,Date,,,2025-03-12,,,*,WVO-768767,Push,,,,,0.24,,1,60,,,,,,,,,None,*,,,
3,WMEABA1003,20-12 MM PEBBLES; AS PER DOC. NO; WGMMD00002,0,Finished good,Active,,3,1,,,,CUM,Item,0.24,100,1,0.24,Date,,,2025-03-12,,,*,WVO-768767,Push,,,,,0.24,,1,60,,,,,,,,,None,*,,,
3,WMEAUA1014,HIGH PURITY LIME STONE ( >98% CaCO3 ) GRANULE SIZE IN RANGE 2.0 - 5.0 MM,0,Finished good,Active,,4,1,,,,CMT,Item,3.504,100,1,3.504,Date,,,2025-03-12,,,*,WVO-768767,Push,,,,,3.504,,1,60,,,,,,,,,None,*,,,
1,-  W630414E01,ELECTRICAL BOM,7,SOS Dummy,Active,,3,1,,,,LOT,Item,1,100,1,1,Date,,,2024-11-13,,,*,WVO-763752,Push,,,,,1,,1,,,,,,,,,,None,,,,
2,-  W630414E02,LT MOTOR BOM,1,SOS Dummy,Active,,1,1,,,,LOT,Item,1,100,1,1,Date,,,2024-11-13,,,*,WVO-763752,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WQFAB30555,"LT MOTOR : 0.37 KW, 4 POLE, V1 MOUNTED, IE3, AS PER DOC NO. WHEDBXX487",0,Finished good,Active,,1,1,,,,NOS,Item,4,100,1,4,Date,,,2024-11-13,,,*,WVO-763752,Push,,,,,4,,1,90,,,,,,,,,None,*,,,
3,WQFAB30562,"LT MOTOR : 0.37 KW, 4 POLE, V1 MOUNTED, VFD OPERATED WITH THRMISTOR, IE3, AS PER DOC NO. WHEDBXX487",0,Finished good,Active,,2,1,,,,NOS,Item,6,100,1,6,Date,,,2024-11-13,,,*,WVO-763752,Push,,,,,6,,1,90,,,,,,,,,None,*,,,
2,-  W000630414EL2201,"SOS, for Elec_Cable Tray",2,SOS Dummy,Active,,2,1,,,,LOT,Item,1,100,1,1,Date,,,2025-07-03,,,*,WVO-772842,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WMFAE03002,"Cable Tray, Ladder Type, MS, Width-300 mm, Height-75 mm, Thickness-2 mm, Length-2.5 Meter, Hot Dip Galvanized, Galvanization Thk-66 Micron",0,Finished good,Active,,1,1,,,,MTR,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,60,,,,,,,,,None,*,,,
3,WMFAE03003,"Cable Tray, Ladder Type, MS, Width-450 mm, Height-75 mm, Thickness-2 mm, Length-2.5 Meter, Hot Dip Galvanized, Galvanization Thk-66 Micron",0,Finished good,Active,,2,1,,,,MTR,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,60,,,,,,,,,None,*,,,
3,WMFAE03006,"Cable Tray Accessories, Ladder Type, GI, Horizontal Bend, H-75 mm, Width-300 mm, Thickness-2 mm, Hot Dip Galvanized, Bending Radius-300 mm",0,XX_TMX_EW_MRP_Planned_Item,Active,,3,1,,,,NOS,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,60,,,,,,,,,None,*,,,
3,WMFAE03019,"Cable Tray Accessories, Ladder Type, GI, Tee, H-75 mm, Width-450 mm, Thickness-2 mm, Hot Dip Galvanized, Bending Radius-300 mm",0,Finished good,Active,,4,1,,,,NOS,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,60,,,,,,,,,None,*,,,
3,WQFAE03291,"CABLE TRAYS & ACC : LADDER TYPE, 2 MM THK, GI, HT : 75 MM,VERT. UP (INSIDE) BEND : 300 MM WIDE, AS PER DRG NO. WEEFB00001",0,Finished good,Active,,5,1,,,,NOS,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
3,WQFAE03294,"CABLE TRAYS & ACC : LADDER TYPE, 2 MM THK, GI, HT : 75 MM,VERT. DN (OUTSIDE) BEND : 300 MM WIDE, AS PER DRG NO. WEEFB00001",0,Finished good,Active,,6,1,,,,NOS,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
3,WMFAE03162,"CABLE TRAYS & ACC : LADDER TYPE, 2 MM THK, GI, HT : 75 MM, TRAY REDUCER (RIGHT  SIDE) SIZE : 450 W X 300W, AS PER DRG NO. WEEFB00001",0,Finished good,Active,,7,1,,,,NOS,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
3,WMFAE03166,"CABLE TRAYS & ACC : LADDER TYPE, 2 MM THK, GI, HT : 75 MM, TRAY REDUCER (LEFT  SIDE) SIZE : 450 W X 150W, AS PER DRG NO. WEEFB00001",0,Finished good,Active,,8,1,,,,NOS,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
3,W113100001,"Cable Tray, Perforated Type, GI, Width-75 mm, Height-50 mm, Thickness-2 mm, Length-2.5 Meter, Hot Dip Galvanized",0,XX_TMX_EW_MRP_Planned_Item,Active,,9,1,,,,MTR,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,,,,,,,,,,None,*,,,
3,WMFAE11006,"CABLE TRAYS & ACC : PERFO. TYPE, 2 MM THK, 2 MM THK, GI, HT : 50 MM,TRAY : 100 MM WIDE, AS PER DRG NO.  WEEFB00008",0,Finished good,Active,,10,1,,,,MTR,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
3,-  WMFAE16006,"CABLE TRAYS & ACC : PERFO. TYPE, 2 MM THK, GI, HT : 50 MM,TRAY : 150 MM WIDE, AS PER DRG NO. WEEFB00008",1,Finished good,Active,,11,1,,,,MTR,Item,0,100,1,0,Date,,,2025-08-20,,,*,WVO-774700,Push,,,,,0,,1,60,,,,,,,,,None,*,,,
4,WMFAE16014,"CABLE TRAYS & ACC : PERFO. TYPE, 2 MM THK, GI, HT : 50 MM,TRAY : 50 MM WIDE, AS PER DRG NO. WEEFB00008",0,Finished good,Active,,1,1,,,,MTR,Item,30,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
4,WWFAE23098,"TRAY SUPPORT: MAKE-HI-TECH , 2 MM THK 41X21 SLOTTED CHANNEL (HTST14021SGP)",0,Finished good,Active,,2,1,,,,NOS,Item,50,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
4,WWFAE23099,"TRAY SUPPORT: MAKE-HI-TECH ,M10 THREADED ROD (HTTR10), 1MTR X 10MM DIAMETER, GI",0,Finished good,Active,,3,1,,,,NOS,Item,100,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
4,WWFAE23100,"TRAY SUPPORT: MAKE-HI-TECH ,041 SQUARE CHANNEL WASHER M 10 (HTSQW04110)",0,Finished good,Active,,4,1,,,,NOS,Item,100,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
4,WWFAE23101,"TRAY SUPPORT: MAKE-HI-TECH ,M10 OD WASHER (HTOW10)",0,Finished good,Active,,5,1,,,,NOS,Item,100,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
4,WWFAE23102,"TRAY SUPPORT: MAKE-HI-TECH ,M10 NUT (HTN10)",0,Finished good,Active,,6,1,,,,NOS,Item,150,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
4,WWFAE23103,"TRAY SUPPORT: MAKE-HI-TECH ,021 END CAP (HTEC021)",0,Finished good,Active,,7,1,,,,NOS,Item,100,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
4,WWFAE23104,"TRAY SUPPORT: MAKE-HI-TECH ,BULLET FASTENER M 10 (HTAF10(B))",0,Finished good,Active,,8,1,,,,NOS,Item,100,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
4,WMAVCA1002,"CARBON STEEL,CHANNEL; IS2062 GR.A,IS 808,LATEST EDN,ISMC:100",0,Finished good,Active,,9,1,,,,MTR,Item,20,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,60,,,,,,,,,None,*,,,
4,WMAVBA3003,"Angle, Size-50X50, Thk-5mm, Make-Thermax Vendor, MS, IS2062 Gr.A, IS808",0,Finished good,Active,,10,1,,,,MTR,Item,2,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,30,,,,,,,,,None,*,,,
4,WMATAA1048,"Plate, IS 2062 Gr A, Thk- 8 mm, L-200mm, W-200mm",0,Finished good,Active,,11,1,,,,NOS,Item,5,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,21,,,,,,,,,None,*,,,
4,WMFAE16016,"CABLE TRAYS & ACC : PERFO. TYPE, 2 MM THK, GI, HT : 50 MM,TRAY : 150 MM WIDE, AS PER DRG NO. WEEFB00008",0,Finished good,Active,,12,1,,,,MTR,Item,70,100,1,0,Date,,,2025-08-20,,,*,WVO-758515,Push,,,,,0,,1,90,,,,,,,,,None,*,,,
2,-  W000630414EL2202,"SOS, for Elec_Cable Tray",2,SOS Dummy,Active,,3,1,,,,LOT,Item,1,100,1,1,Date,,,2025-08-20,,,*,WVO-774704,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WQFAE26476,"CABLE TRAYS & ACC : LADDER TYPE, GI., THK : 2mm, HT : 127 MM, TRAY : 300 MM WIDE, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,1,1,,,,MTR,Item,40,100,1,40,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,40,,1,120,,,,,,,,,None,*,,,
3,WQFAE26477,"CABLE TRAYS & ACC : LADDER TYPE, GI., THK : 2mm, HT : 127 MM, TRAY : 450 MM WIDE, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,2,1,,,,MTR,Item,3,100,1,3,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,3,,1,120,,,,,,,,,None,*,,,
3,WQFAE26499,"CABLE TRAYS & ACC : LADDER TYPE, GI., THK : 2mm, HT : 127 MM, HOR. 90 DEG. BEND : 300 MM WIDE, BENDING RADIUS 600 MM, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,3,1,,,,NOS,Item,3,100,1,3,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,3,,1,120,,,,,,,,,None,*,,,
3,WQFAE26505,"CABLE TRAYS & ACC : LADDER TYPE, GI., THK : 2mm, HT : 127 MM, HOR. TEE : 450 MM WIDE, BENDING RADIUS 600 MM, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,4,1,,,,NOS,Item,1,100,1,1,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,1,,1,120,,,,,,,,,None,*,,,
3,WQFAE26514,"CABLE TRAYS & ACC : LADDER TYPE, GI., THK : 2mm, HT : 127 MM, INWARD 90 DEG. BEND : 300 MM WIDE, BENDING RADIUS 600 MM, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,5,1,,,,NOS,Item,1,100,1,1,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,1,,1,120,,,,,,,,,None,*,,,
3,WQFAE26509,"CABLE TRAYS & ACC : LADDER TYPE, GI., THK : 2mm, HT : 127 MM, OUTWARD 90 DEG. BEND : 300 MM WIDE, BENDING RADIUS 600 MM, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,6,1,,,,NOS,Item,1,100,1,1,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,1,,1,120,,,,,,,,,None,*,,,
3,WQFAE26520,"CABLE TRAYS & ACC :LADDER TYPE, GI., THK : 2mm, HT : 127 MM, TRAY REDUCER (RIGHT SIDE) SIZE : 450 W X 300W, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,7,1,,,,NOS,Item,1,100,1,1,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,1,,1,120,,,,,,,,,None,*,,,
3,WQFAE26529,"CABLE TRAYS & ACC : LADDER TYPE, GI., THK : 2mm, HT : 127 MM, TRAY REDUCER (LEFT SIDE) SIZE : 450 W X 150W, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,9,1,,,,NOS,Item,1,100,1,1,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,1,,1,120,,,,,,,,,None,*,,,
3,WQFAE26537,"CABLE TRAYS & ACC : LADDER TYPE, GI, THK : 2mm, HT : 127 MM. TRAY, STRAIGHT COUPLER PLATES COMPLETE, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,10,1,,,,NOS,Item,40,100,1,40,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,40,,1,120,,,,,,,,,None,*,,,
3,WQFAE26540,"M10 X 20 MM LONG MUSHROOM HEAD  BOLT, NUT, FLAT & SPRING WASHER AS PER DOC NO. WHEFB00142",0,Finished good,Active,,11,1,,,,SET,Item,280,100,1,280,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,280,,1,120,,,,,,,,,None,*,,,
3,WQFAE26539,"CABLE TRAYS & ACC : LADDER TYPE, GI, THK : 2mm, HOLD DOWN CLAMPS COMPLETE, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,12,1,,,,NOS,Item,120,100,1,120,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,120,,1,120,,,,,,,,,None,*,,,
3,WQFAE11219,"CABLE TRAYS & ACC : PERFORATED TYPE, GI, THK : 2mm, HT : 50 MM, TRAY : 75 MM WIDE, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,13,1,,,,MTR,Item,45,100,1,45,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,45,,1,120,,,,,,,,,None,*,,,
3,WQFAE11220,"CABLE TRAYS & ACC : PERFORATED TYPE, GI, THK : 2mm, HT : 50 MM, TRAY : 100 MM WIDE, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,14,1,,,,MTR,Item,40,100,1,40,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,40,,1,120,,,,,,,,,None,*,,,
3,WQFAE11221,"CABLE TRAYS & ACC : PERFORATED TYPE, GI, THK : 2mm, HT : 50 MM, TRAY : 150 MM WIDE, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,15,1,,,,MTR,Item,40,100,1,40,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,40,,1,120,,,,,,,,,None,*,,,
3,WQFAE11235,"CABLE TRAYS & ACC : PERFORATED TYPE, GI, THK : 2mm, HT : 50MM TRAY, STRAIGHT COUPLER PLATES, AS PER DRG NO. WHEFB00142",0,Finished good,Active,,16,1,,,,NOS,Item,110,100,1,110,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,110,,1,120,,,,,,,,,None,*,,,
3,WQFAE11236,"M8 X 20 MM LONG MUSHROOM HEAD ROOFING BOLT, NUT, FLAT & SPRING WASHER AS PER DOC NO. WHEFB00142",0,Finished good,Active,,17,1,,,,SET,Item,475,100,1,475,Date,,,2025-09-26,,,*,WVO-776276,Push,,,,,475,,1,120,,,,,,,,,None,*,,,
2,-  W000630414AA0801,"SOS, for Spares_Recommended_Elec",1,SOS Dummy,Active,,4,1,,,,LOT,Item,1,100,1,1,Date,,,2025-09-10,,,*,WVO-775518,Push,,,,,1,,1,,,,,,,,,,None,,,,
3,WS00000232,"Motor Spares, Bearings, DE_6004 2Z C3_FRAME SIZE 80, Ref OC:W630413",0,XX_TMX_EW_MRP_Planned_Item,Active,,1,1,,,,SET,Item,1,100,1,1,Date,,,2025-09-10,,,*,WVO-775518,Push,,,,,1,,1,,,,,,,,,,None,*,,,
3,WS00000233,"Motor Spares, Bearings, NDE_6004 2Z C3_FRAME SIZE 80, Ref OC:W630413",0,XX_TMX_EW_MRP_Planned_Item,Active,,2,1,,,,SET,Item,1,100,1,1,Date,,,2025-09-10,,,*,WVO-775518,Push,,,,,1,,1,,,,,,,,,,None,*,,,
3,WS00000853,"Motor Spares, MOTOR TERMINAL BOX, 0.37 KW,4P, FRAME SIZE 80, Ref OC:W630414",0,XX_TMX_EW_MRP_Planned_Item,Active,,3,1,,,,SET,Item,1,100,1,1,Date,,,2025-09-10,,,*,WVO-775518,Push,,,,,1,,1,,,,,,,,,,None,*,,,
