agent_instance_id,agent_name,stage,model_stack,version,deployment_region,status,deployed_date,last_updated,avg_monthly_invocations,avg_confidence_score,connected_tools_count
AGT-PRS-01-MID-017,Solution Agent,Pre-sales,Claude Opus + domain tools,v3.1,Middle East,Active,2025-12-28,2026-03-26,5539,0.927,12
AGT-PRS-01-SOU-018,Solution Agent,Pre-sales,Claude Opus + domain tools,v3.1,South East Asia,Active,2025-08-10,2026-04-17,8179,0.94,14
AGT-ENG-01-IND-019,Engineering Validation Agent,Engineering,Claude Opus + CAD tools,v2.5,India West,Active,2025-11-03,2026-04-04,9347,0.914,4
AGT-ENG-01-IND-020,Engineering Validation Agent,Engineering,Claude Opus + CAD tools,v2.5,India South,Staging,2026-03-02,2026-03-23,7578,0.945,12
AGT-ENG-01-IND-021,Engineering Validation Agent,Engineering,Claude Opus + CAD tools,v2.5,India North,Active,2026-03-09,2026-04-18,4250,0.975,12
AGT-ENG-01-IND-022,Engineering Validation Agent,Engineering,Claude Opus + CAD tools,v2.5,India East,Staging,2026-03-12,2026-03-27,11514,0.957,12
AGT-ENG-01-MID-023,Engineering Validation Agent,Engineering,Claude Opus + CAD tools,v2.5,Middle East,Active,2025-12-23,2026-04-05,9002,0.935,7
AGT-ENG-01-SOU-024,Engineering Validation Agent,Engineering,Claude Opus + CAD tools,v2.5,South East Asia,Active,2025-05-27,2026-04-07,10900,0.956,4
AGT-FIN-01-IND-025,Commercial Risk Agent,Finance and Legal,Claude Opus + SAP FICO,v2.0,India West,Active,2025-09-25,2026-04-07,5960,0.892,4
AGT-FIN-01-IND-026,Commercial Risk Agent,Finance and Legal,Claude Opus + SAP FICO,v2.0,India South,Active,2025-10-05,2026-04-07,11865,0.914,13
AGT-FIN-01-IND-027,Commercial Risk Agent,Finance and Legal,Claude Opus + SAP FICO,v2.0,India North,Active,2025-06-14,2026-04-19,7951,0.861,7
AGT-FIN-01-IND-028,Commercial Risk Agent,Finance and Legal,Claude Opus + SAP FICO,v2.0,India East,Active,2026-01-22,2026-03-27,7122,0.962,3
AGT-FIN-01-MID-029,Commercial Risk Agent,Finance and Legal,Claude Opus + SAP FICO,v2.0,Middle East,Deprecated,2025-06-18,2026-04-06,7270,0.857,11
AGT-FIN-01-SOU-030,Commercial Risk Agent,Finance and Legal,Claude Opus + SAP FICO,v2.0,South East Asia,Active,2025-05-08,2026-03-27,8667,0.931,15
AGT-HR-01-IND-031,Mobilisation Agent,HR and PMO,Claude Opus + SuccessFactors,v1.6,India West,Active,2025-12-08,2026-04-12,9498,0.867,7
AGT-HR-01-IND-032,Mobilisation Agent,HR and PMO,Claude Opus + SuccessFactors,v1.6,India South,Active,2025-03-30,2026-04-05,2489,0.854,13
AGT-HR-01-IND-033,Mobilisation Agent,HR and PMO,Claude Opus + SuccessFactors,v1.6,India North,Staging,2025-11-20,2026-03-29,3094,0.89,3
AGT-HR-01-IND-034,Mobilisation Agent,HR and PMO,Claude Opus + SuccessFactors,v1.6,India East,Staging,2025-08-26,2026-04-18,4181,0.979,4
AGT-HR-01-MID-035,Mobilisation Agent,HR and PMO,Claude Opus + SuccessFactors,v1.6,Middle East,Active,2026-01-21,2026-03-31,14133,0.87,14
AGT-HR-01-SOU-036,Mobilisation Agent,HR and PMO,Claude Opus + SuccessFactors,v1.6,South East Asia,Active,2025-07-05,2026-03-29,4979,0.904,10
AGT-SIT-01-IND-037,Execution Monitoring Agent,Site Operations,Claude Opus + IoT stream,v2.8,India West,Active,2025-11-18,2026-04-06,9531,0.869,6
AGT-SIT-01-IND-038,Execution Monitoring Agent,Site Operations,Claude Opus + IoT stream,v2.8,India South,Staging,2025-07-05,2026-03-28,14906,0.868,4
AGT-SIT-01-IND-039,Execution Monitoring Agent,Site Operations,Claude Opus + IoT stream,v2.8,India North,Active,2025-08-22,2026-04-10,13405,0.916,3
AGT-SIT-01-IND-040,Execution Monitoring Agent,Site Operations,Claude Opus + IoT stream,v2.8,India East,Active,2025-10-21,2026-03-25,10116,0.925,13
AGT-SIT-01-MID-041,Execution Monitoring Agent,Site Operations,Claude Opus + IoT stream,v2.8,Middle East,Active,2026-01-05,2026-04-06,9324,0.913,8
AGT-SIT-01-SOU-042,Execution Monitoring Agent,Site Operations,Claude Opus + IoT stream,v2.8,South East Asia,Staging,2025-06-17,2026-04-08,7960,0.971,6
AGT-CMS-01-IND-043,Commissioning Agent,Commissioning,Claude Opus + SCADA,v1.9,India West,Deprecated,2025-11-20,2026-04-02,6774,0.88,15
AGT-CMS-01-IND-044,Commissioning Agent,Commissioning,Claude Opus + SCADA,v1.9,India South,Active,2026-02-28,2026-04-10,12701,0.911,15
AGT-CMS-01-IND-045,Commissioning Agent,Commissioning,Claude Opus + SCADA,v1.9,India North,Active,2025-09-06,2026-03-30,13482,0.957,5
AGT-CMS-01-IND-046,Commissioning Agent,Commissioning,Claude Opus + SCADA,v1.9,India East,Active,2026-03-04,2026-04-16,8729,0.975,8
AGT-CMS-01-MID-047,Commissioning Agent,Commissioning,Claude Opus + SCADA,v1.9,Middle East,Active,2025-08-09,2026-04-17,9117,0.968,3
AGT-CMS-01-SOU-048,Commissioning Agent,Commissioning,Claude Opus + SCADA,v1.9,South East Asia,Deprecated,2026-01-08,2026-04-07,14769,0.935,5
AGT-SRV-01-IND-049,Performance and Service Agent,Digital and Service,Claude Opus + Edelise,v3.4,India West,Active,2025-07-25,2026-03-26,4842,0.894,14
AGT-SRV-01-IND-050,Performance and Service Agent,Digital and Service,Claude Opus + Edelise,v3.4,India South,Active,2025-04-24,2026-04-18,14455,0.893,13
AGT-SRV-01-IND-051,Performance and Service Agent,Digital and Service,Claude Opus + Edelise,v3.4,India North,Staging,2025-09-09,2026-04-10,10769,0.943,15
AGT-SRV-01-IND-052,Performance and Service Agent,Digital and Service,Claude Opus + Edelise,v3.4,India East,Active,2025-06-18,2026-04-19,10616,0.859,13
AGT-SRV-01-MID-053,Performance and Service Agent,Digital and Service,Claude Opus + Edelise,v3.4,Middle East,Deprecated,2025-10-26,2026-04-13,12735,0.862,4
AGT-SRV-01-SOU-054,Performance and Service Agent,Digital and Service,Claude Opus + Edelise,v3.4,South East Asia,Deprecated,2025-03-27,2026-03-24,2146,0.908,14
AGT-ORC-01-IND-055,Workflow Orchestrator,Orchestration,Claude Opus + LangGraph,v2.2,India West,Active,2026-03-08,2026-04-19,5814,0.953,7
AGT-ORC-01-IND-056,Workflow Orchestrator,Orchestration,Claude Opus + LangGraph,v2.2,India South,Active,2025-09-12,2026-04-07,2885,0.882,9
AGT-ORC-01-IND-057,Workflow Orchestrator,Orchestration,Claude Opus + LangGraph,v2.2,India North,Staging,2025-04-07,2026-03-26,3450,0.872,4
AGT-ORC-01-IND-058,Workflow Orchestrator,Orchestration,Claude Opus + LangGraph,v2.2,India East,Staging,2025-09-08,2026-04-01,11692,0.881,12
AGT-ORC-01-MID-059,Workflow Orchestrator,Orchestration,Claude Opus + LangGraph,v2.2,Middle East,Active,2025-11-24,2026-04-06,10951,0.883,7
AGT-ORC-01-SOU-060,Workflow Orchestrator,Orchestration,Claude Opus + LangGraph,v2.2,South East Asia,Deprecated,2026-03-18,2026-03-23,13683,0.91,7
