customer_id,customer_name,industry,sub_industry,country,state,city,annual_revenue_inr_cr,employee_count,relationship_start_date,account_tier,primary_contact,created_date
CUST-0043,Hindustan Unilever,FMCG,Large Enterprise,India,Maharashtra,Mumbai,63500,21000,2025-10-17,Tier 2,Jitendra Khanna,2020-12-04
CUST-0044,Marico Limited,FMCG,Mid Enterprise,India,Maharashtra,Mumbai,10500,1700,2021-07-16,Tier 3,Kavita Mukherjee,2021-01-24
CUST-0045,Arvind Limited,Textile,Mid Enterprise,India,Gujarat,Ahmedabad,8400,27000,2022-04-22,Tier 3,Vivek Mukherjee,2020-11-21
CUST-0046,Raymond Limited,Textile,Mid Enterprise,India,Maharashtra,Mumbai,8200,9800,2024-09-11,Tier 3,Suresh Pandey,2020-11-01
CUST-0047,Welspun India,Textile,Mid Enterprise,India,Maharashtra,Mumbai,9400,24000,2024-11-27,Tier 3,Girish Chatterjee,2021-02-06
CUST-0048,Balrampur Chini Mills,Sugar,Mid Enterprise,India,West Bengal,Kolkata,5600,6800,2022-06-15,Tier 3,Anil Banerjee,2021-02-04
CUST-0049,Triveni Engineering,Sugar,Mid Enterprise,India,Uttar Pradesh,Noida,5100,4200,2025-03-08,Tier 3,Vinod Pandey,2020-12-29
CUST-0050,NTPC Limited,Power,Large Enterprise,India,Delhi,New Delhi,179000,20000,2024-06-20,Tier 1,Sunita Kapoor,2020-11-26
CUST-0051,Tata Power,Power,Large Enterprise,India,Maharashtra,Mumbai,57000,4200,2025-05-15,Tier 2,Anjali Banerjee,2021-01-29
CUST-0052,Adani Power,Power,Mid Enterprise,India,Gujarat,Ahmedabad,38500,3800,2021-07-19,Tier 2,Girish Rao,2021-01-21
CUST-0053,Torrent Power,Power,Mid Enterprise,India,Gujarat,Ahmedabad,24500,8200,2022-02-10,Tier 2,Naveen Naidu,2021-01-16
