product_id,product_name,product_category,business_segment,description,typical_capacity,typical_price_inr_lakh,lead_time_weeks,primary_industry
TP-SR-005,Spare Parts Contract,Service,Service,OEM spares supply agreement,Per plant,45,29,Food
TP-RN-001,Biomass Gasifier,Renewables,Clean Energy,Biomass to syngas system,2 MW,385,19,Food
TP-RN-002,Solar Thermal System,Renewables,Clean Energy,Parabolic trough solar thermal,1 MW,680,21,Textile
TP-RN-003,Green Hydrogen Electrolyser,Renewables,Clean Energy,PEM electrolyser system,1 MW,2400,31,Cement
TP-CP-001,Process Chemicals Package,Chemicals,Chemicals,Boiler water treatment chemicals annual,Per plant,35,29,All
TP-CP-002,Cooling Tower Chemicals Package,Chemicals,Chemicals,CT water treatment chemicals,Per plant,28,28,Refinery
TP-CP-003,RO Membrane Antiscalants,Chemicals,Chemicals,RO plant chemicals annual,Per plant,22,9,Food
TP-SB-006,Shellmax Mini Boiler,Boilers,Heating,Compact package boiler under 1 TPH,0.8 TPH,78,10,Pharma
TP-SB-007,Fluidised Bed Combustion Boiler,Boilers,Heating,CFBC boiler for varied fuels,75 TPH,2150,36,Power
TP-SB-008,Oil-fired Packaged Boiler,Boilers,Heating,Heavy oil packaged boiler,20 TPH,425,18,Refinery
TP-SB-009,Hot Air Generator,Boilers,Heating,Direct-fired hot air generator,5 lakh kcal,65,12,Food
TP-CH-004,Steam Driven Chiller,Chillers,Cooling,Single-effect steam absorption,300 TR,165,20,Chemicals
TP-CH-005,Direct Fired Chiller,Chillers,Cooling,Gas-fired absorption chiller,600 TR,295,22,All
TP-WT-006,Sea Water RO Plant,Water,Water Solutions,Desalination RO system,500 m3/hr,685,28,Refinery
TP-WT-007,Ultrafiltration System,Water,Water Solutions,UF pre-treatment for RO,200 m3/hr,98,14,All
TP-WT-008,Condensate Polishing Unit,Water,Water Solutions,Mixed bed condensate polisher,150 m3/hr,185,18,Power
TP-AP-006,Dry Sorbent Injection,APC,Air Pollution Control,DSI system for acid gas removal,300000 Nm3/hr,385,24,Cement
TP-AP-007,Activated Carbon Injection,APC,Air Pollution Control,ACI for mercury control,200000 Nm3/hr,215,18,Power
TP-AP-008,Regenerative Thermal Oxidiser,APC,Air Pollution Control,RTO for VOC destruction,50000 Nm3/hr,445,22,Chemicals
TP-CT-003,Hyperbolic Cooling Tower,Cooling Tower,Cooling,Natural draft hyperbolic CT,25000 m3/hr,485,32,Power
TP-CT-004,Fluid Cooler,Cooling Tower,Cooling,Closed circuit fluid cooler,1000 m3/hr,85,14,All
TP-PW-005,Heat Recovery Steam Generator,Power,Power Solutions,HRSG for combined cycle,80 TPH,4800,36,Power
TP-SR-006,Condition Monitoring Service,Service,Service,Vibration and thermal monitoring,Per plant,55,4,All
TP-SR-007,Operator Training Programme,Service,Service,Structured O&M certification,Per batch,18,6,All
TP-SR-008,Energy Audit and Optimisation,Service,Service,ISO 50001 compliant audit,Per site,32,8,All
TP-RN-004,Biomass Briquette Plant,Renewables,Clean Energy,Agri-residue briquetting,2 TPH,125,18,Sugar
TP-CP-004,Emulsion Breaker Chemicals,Chemicals,Chemicals,Refinery process chemicals,Per plant,38,6,Refinery
