telemetry_id,project_id,timestamp,boiler_efficiency_pct,steam_output_tph,fuel_consumption_kg_hr,nox_emission_mg_nm3,so2_emission_mg_nm3,uptime_pct,anomaly_detected
TEL-000100,PRJ-2026-0007,2026-04-11 18:00,85.28,9.36,1708.0,164.8,222.9,96.23,Yes
TEL-000101,PRJ-2026-0007,2026-04-10 09:00,89.72,12.27,1800.0,98.7,164.3,99.62,No
TEL-000102,PRJ-2026-0007,2026-04-10 00:00,88.7,9.87,1684.0,178.4,258.5,98.18,No
TEL-000103,PRJ-2026-0007,2026-04-08 18:00,85.47,9.37,1845.0,165.0,247.0,96.7,Yes
TEL-000104,PRJ-2026-0007,2026-04-08 00:00,86.12,10.73,1339.0,124.8,137.3,99.15,No
TEL-000105,PRJ-2026-0007,2026-04-06 23:00,84.28,9.03,1542.0,94.4,181.0,96.19,Yes
TEL-000106,PRJ-2026-0008,2026-04-21 00:00,85.19,9.5,1651.0,101.1,269.5,96.58,Yes
TEL-000107,PRJ-2026-0008,2026-04-19 23:00,84.25,9.18,1715.0,122.1,248.4,98.74,Yes
TEL-000108,PRJ-2026-0008,2026-04-18 22:00,88.57,12.29,1579.0,85.9,194.4,98.3,No
TEL-000109,PRJ-2026-0008,2026-04-18 00:00,84.48,9.97,1289.0,175.8,210.1,96.05,Yes
TEL-000110,PRJ-2026-0008,2026-04-16 10:00,85.73,9.81,1323.0,159.0,224.7,96.65,Yes
TEL-000111,PRJ-2026-0008,2026-04-15 22:00,84.87,10.2,1447.0,88.9,201.5,99.36,Yes
TEL-000112,PRJ-2026-0008,2026-04-14 04:00,87.12,8.1,1723.0,109.1,259.2,98.7,No
TEL-000113,PRJ-2026-0008,2026-04-13 16:00,89.95,12.49,1272.0,100.9,249.2,99.66,No
TEL-000114,PRJ-2026-0008,2026-04-12 09:00,90.67,9.03,1465.0,178.4,143.2,96.86,No
TEL-000115,PRJ-2026-0008,2026-04-11 15:00,86.35,12.01,1319.0,98.7,223.7,96.06,No
TEL-000116,PRJ-2026-0008,2026-04-10 14:00,85.45,12.06,1375.0,92.8,272.7,99.47,Yes
TEL-000117,PRJ-2026-0008,2026-04-09 03:00,89.84,9.03,1735.0,160.8,195.9,96.69,No
TEL-000118,PRJ-2026-0008,2026-04-08 05:00,84.18,10.87,1473.0,144.4,170.5,96.85,Yes
TEL-000119,PRJ-2026-0008,2026-04-07 20:00,87.76,9.83,1732.0,153.4,123.9,99.69,No
TEL-000120,PRJ-2026-0008,2026-04-06 20:00,86.16,10.96,1580.0,118.3,181.2,96.5,No
TEL-000121,PRJ-2026-0009,2026-04-20 21:00,88.6,12.28,1549.0,172.6,134.5,99.06,No
TEL-000122,PRJ-2026-0009,2026-04-19 07:00,91.05,11.02,1676.0,161.2,261.6,96.97,Yes
TEL-000123,PRJ-2026-0009,2026-04-18 07:00,87.42,12.4,1638.0,97.1,194.2,99.8,No
TEL-000124,PRJ-2026-0009,2026-04-18 00:00,88.0,9.78,1215.0,156.2,190.1,98.5,No
TEL-000125,PRJ-2026-0009,2026-04-16 22:00,91.81,7.66,1390.0,165.4,140.9,97.66,No
TEL-000126,PRJ-2026-0009,2026-04-15 23:00,84.4,10.36,1672.0,135.3,251.8,99.4,Yes
TEL-000127,PRJ-2026-0009,2026-04-14 18:00,87.14,10.63,1742.0,159.6,276.7,97.06,Yes
TEL-000128,PRJ-2026-0009,2026-04-13 16:00,88.08,12.22,1225.0,100.0,155.8,99.67,No
TEL-000129,PRJ-2026-0009,2026-04-12 11:00,86.55,8.24,1756.0,101.0,279.7,96.76,No
TEL-000130,PRJ-2026-0009,2026-04-11 01:00,87.93,8.24,1209.0,170.8,120.2,96.79,Yes
TEL-000131,PRJ-2026-0009,2026-04-10 18:00,84.02,7.6,1557.0,120.8,246.9,98.83,Yes
TEL-000132,PRJ-2026-0009,2026-04-09 12:00,87.63,10.56,1202.0,134.5,242.9,98.16,No
TEL-000133,PRJ-2026-0009,2026-04-08 22:00,84.97,8.1,1719.0,87.2,272.8,99.23,Yes
TEL-000134,PRJ-2026-0009,2026-04-07 12:00,88.54,8.26,1353.0,150.1,152.2,97.74,No
TEL-000135,PRJ-2026-0009,2026-04-06 06:00,89.39,10.39,1499.0,153.1,127.2,96.03,Yes
TEL-000136,PRJ-2026-0010,2026-04-20 01:00,86.69,11.71,1253.0,166.2,265.6,97.62,No
TEL-000137,PRJ-2026-0010,2026-04-19 16:00,87.11,7.62,1588.0,164.9,214.3,97.05,No
TEL-000138,PRJ-2026-0010,2026-04-18 17:00,85.99,8.09,1263.0,164.3,272.5,96.31,Yes
TEL-000139,PRJ-2026-0010,2026-04-17 21:00,88.19,7.96,1593.0,146.3,231.1,97.25,No
TEL-000140,PRJ-2026-0010,2026-04-16 20:00,90.07,9.05,1832.0,103.0,161.6,99.22,Yes
TEL-000141,PRJ-2026-0010,2026-04-16 00:00,84.55,8.52,1696.0,111.4,185.8,97.7,Yes
TEL-000142,PRJ-2026-0010,2026-04-14 12:00,91.55,8.75,1578.0,151.9,258.1,97.64,No
TEL-000143,PRJ-2026-0010,2026-04-13 20:00,89.73,10.25,1374.0,146.2,122.6,96.53,No
TEL-000144,PRJ-2026-0010,2026-04-12 07:00,91.28,8.26,1290.0,106.1,191.5,99.51,No
TEL-000145,PRJ-2026-0010,2026-04-11 15:00,91.75,11.95,1291.0,135.4,200.1,96.27,No
TEL-000146,PRJ-2026-0010,2026-04-10 16:00,89.51,9.84,1713.0,119.1,275.4,97.56,Yes
TEL-000147,PRJ-2026-0010,2026-04-09 19:00,91.61,12.48,1211.0,113.0,145.5,96.36,No
TEL-000148,PRJ-2026-0010,2026-04-08 07:00,91.6,9.16,1557.0,150.2,270.1,98.39,No
TEL-000149,PRJ-2026-0010,2026-04-07 04:00,91.8,7.59,1633.0,169.8,138.3,96.12,No
TEL-000150,PRJ-2026-0010,2026-04-06 10:00,88.81,8.82,1465.0,90.1,140.4,96.92,No
TEL-000151,PRJ-2026-0011,2026-04-20 20:00,87.67,11.12,1685.0,101.7,277.4,96.48,No
TEL-000152,PRJ-2026-0011,2026-04-19 01:00,91.92,7.84,1258.0,87.8,264.7,99.6,No
TEL-000153,PRJ-2026-0011,2026-04-18 02:00,86.99,9.65,1688.0,106.3,250.4,99.39,No
TEL-000154,PRJ-2026-0011,2026-04-17 16:00,86.5,12.35,1399.0,101.9,143.1,97.67,No
TEL-000155,PRJ-2026-0011,2026-04-16 17:00,90.82,11.63,1216.0,144.1,173.3,96.03,No
TEL-000156,PRJ-2026-0011,2026-04-15 09:00,89.75,12.42,1827.0,114.4,255.3,96.99,No
TEL-000157,PRJ-2026-0011,2026-04-14 13:00,88.47,9.96,1466.0,101.1,270.4,98.88,No
TEL-000158,PRJ-2026-0011,2026-04-13 01:00,89.44,10.84,1319.0,128.0,120.6,97.49,No
TEL-000159,PRJ-2026-0011,2026-04-12 11:00,89.63,9.26,1654.0,123.0,144.4,96.49,No
TEL-000160,PRJ-2026-0011,2026-04-11 22:00,91.65,9.71,1849.0,166.0,190.7,99.25,No
TEL-000161,PRJ-2026-0011,2026-04-10 16:00,90.32,9.84,1252.0,100.2,129.6,96.79,No
TEL-000162,PRJ-2026-0011,2026-04-10 00:00,84.29,12.37,1271.0,133.5,200.1,97.84,Yes
TEL-000163,PRJ-2026-0011,2026-04-08 15:00,91.79,9.07,1377.0,104.9,128.6,98.76,No
TEL-000164,PRJ-2026-0011,2026-04-07 01:00,90.03,12.24,1298.0,116.9,222.0,99.21,No
TEL-000165,PRJ-2026-0011,2026-04-06 05:00,89.91,9.28,1574.0,101.3,275.2,98.51,No
TEL-000166,PRJ-2026-0012,2026-04-20 16:00,90.41,7.94,1280.0,148.7,218.0,98.94,No
TEL-000167,PRJ-2026-0012,2026-04-19 07:00,88.4,9.82,1202.0,148.5,157.4,96.86,No
TEL-000168,PRJ-2026-0012,2026-04-18 03:00,88.69,11.87,1527.0,102.0,130.4,97.96,No
TEL-000169,PRJ-2026-0012,2026-04-17 06:00,90.41,12.47,1463.0,167.3,122.9,99.22,No
TEL-000170,PRJ-2026-0012,2026-04-16 21:00,91.94,8.3,1771.0,114.5,225.0,97.06,No
TEL-000171,PRJ-2026-0012,2026-04-15 01:00,85.49,11.82,1277.0,123.1,169.8,98.83,Yes
TEL-000172,PRJ-2026-0012,2026-04-14 08:00,87.39,8.7,1292.0,152.8,222.7,97.92,No
TEL-000173,PRJ-2026-0012,2026-04-13 23:00,91.9,7.81,1654.0,95.0,191.5,99.15,No
TEL-000174,PRJ-2026-0012,2026-04-12 05:00,88.84,7.9,1725.0,88.1,122.1,97.13,Yes
TEL-000175,PRJ-2026-0012,2026-04-11 09:00,90.51,11.25,1523.0,94.4,251.6,98.9,No
TEL-000176,PRJ-2026-0012,2026-04-10 07:00,87.32,8.02,1610.0,121.9,268.4,98.89,No
TEL-000177,PRJ-2026-0012,2026-04-09 13:00,89.47,11.26,1233.0,133.2,135.8,98.46,No
TEL-000178,PRJ-2026-0012,2026-04-08 04:00,87.73,11.84,1799.0,144.7,132.3,99.64,No
TEL-000179,PRJ-2026-0012,2026-04-07 14:00,85.79,10.15,1659.0,87.2,267.6,98.12,Yes
TEL-000180,PRJ-2026-0012,2026-04-06 03:00,90.94,11.22,1507.0,159.0,215.8,96.21,No
TEL-000181,PRJ-2026-0013,2026-04-20 17:00,87.74,8.03,1218.0,150.6,137.8,98.34,Yes
TEL-000182,PRJ-2026-0013,2026-04-19 20:00,85.04,8.51,1587.0,157.0,221.4,97.46,Yes
TEL-000183,PRJ-2026-0013,2026-04-18 09:00,87.92,8.49,1420.0,106.5,191.6,97.59,No
TEL-000184,PRJ-2026-0013,2026-04-17 21:00,91.2,11.49,1556.0,149.0,234.6,97.39,No
TEL-000185,PRJ-2026-0013,2026-04-16 13:00,87.72,7.66,1310.0,109.4,258.9,96.74,Yes
TEL-000186,PRJ-2026-0013,2026-04-15 20:00,85.71,9.48,1321.0,177.2,139.4,98.22,Yes
TEL-000187,PRJ-2026-0013,2026-04-14 12:00,88.82,10.26,1750.0,109.7,226.6,96.08,No
TEL-000188,PRJ-2026-0013,2026-04-13 10:00,89.46,9.68,1649.0,108.4,256.0,99.47,No
TEL-000189,PRJ-2026-0013,2026-04-12 13:00,89.58,12.22,1258.0,90.2,138.5,97.54,Yes
TEL-000190,PRJ-2026-0013,2026-04-11 15:00,90.59,7.52,1803.0,105.7,178.2,99.72,No
TEL-000191,PRJ-2026-0013,2026-04-10 04:00,88.18,11.41,1383.0,105.1,239.7,96.43,No
TEL-000192,PRJ-2026-0013,2026-04-09 07:00,90.93,8.94,1756.0,132.8,155.3,96.04,No
TEL-000193,PRJ-2026-0013,2026-04-08 21:00,89.91,11.55,1729.0,115.1,156.6,96.56,No
TEL-000194,PRJ-2026-0013,2026-04-07 13:00,91.29,11.1,1696.0,152.9,278.3,98.65,No
TEL-000195,PRJ-2026-0013,2026-04-06 12:00,89.7,10.84,1808.0,166.9,157.2,98.09,No
TEL-000196,PRJ-2026-0014,2026-04-20 22:00,84.03,7.59,1277.0,157.3,265.9,97.6,Yes
TEL-000197,PRJ-2026-0014,2026-04-19 20:00,87.92,10.43,1476.0,176.1,171.2,96.94,No
TEL-000198,PRJ-2026-0014,2026-04-18 14:00,86.57,11.82,1289.0,158.2,264.9,99.45,No
TEL-000199,PRJ-2026-0014,2026-04-17 14:00,90.46,10.46,1697.0,132.3,135.8,97.38,No
TEL-000200,PRJ-2026-0014,2026-04-16 20:00,87.01,7.73,1636.0,141.9,145.7,98.79,Yes
TEL-000201,PRJ-2026-0014,2026-04-16 00:00,85.23,11.43,1483.0,155.1,278.5,98.93,Yes
TEL-000202,PRJ-2026-0014,2026-04-14 11:00,90.19,7.68,1242.0,94.7,193.7,96.23,No
TEL-000203,PRJ-2026-0014,2026-04-13 08:00,87.71,11.53,1691.0,130.7,279.2,98.86,No
TEL-000204,PRJ-2026-0014,2026-04-12 09:00,89.32,7.99,1407.0,178.0,204.8,98.95,No
TEL-000205,PRJ-2026-0014,2026-04-11 10:00,86.37,9.01,1750.0,152.0,227.5,97.46,No
TEL-000206,PRJ-2026-0014,2026-04-10 19:00,88.5,11.35,1456.0,135.2,277.0,99.4,No
TEL-000207,PRJ-2026-0014,2026-04-09 19:00,88.44,12.49,1492.0,125.7,141.8,97.69,No
TEL-000208,PRJ-2026-0014,2026-04-08 12:00,89.47,12.23,1759.0,152.1,270.9,96.79,No
TEL-000209,PRJ-2026-0014,2026-04-07 07:00,91.74,9.59,1290.0,142.4,154.9,98.01,No
TEL-000210,PRJ-2026-0014,2026-04-06 01:00,88.03,7.76,1782.0,150.9,247.6,97.96,No
TEL-000211,PRJ-2026-0015,2026-04-20 08:00,91.95,8.67,1237.0,116.8,179.3,96.89,No
TEL-000212,PRJ-2026-0015,2026-04-20 00:00,86.77,10.12,1742.0,158.3,195.9,98.2,No
TEL-000213,PRJ-2026-0015,2026-04-18 01:00,84.67,12.02,1588.0,127.7,272.2,98.95,Yes
TEL-000214,PRJ-2026-0015,2026-04-17 14:00,85.53,10.78,1409.0,127.8,237.9,97.9,Yes
TEL-000215,PRJ-2026-0015,2026-04-16 10:00,88.0,8.77,1484.0,92.3,232.7,96.1,No
TEL-000216,PRJ-2026-0015,2026-04-15 08:00,86.08,9.88,1759.0,156.2,140.8,98.77,No
TEL-000217,PRJ-2026-0015,2026-04-14 19:00,84.48,8.38,1813.0,99.0,136.5,98.89,Yes
TEL-000218,PRJ-2026-0015,2026-04-13 10:00,90.64,9.95,1594.0,177.0,137.1,96.62,No
TEL-000219,PRJ-2026-0015,2026-04-12 15:00,85.26,11.92,1442.0,112.5,253.9,97.54,Yes
TEL-000220,PRJ-2026-0015,2026-04-11 07:00,85.86,9.37,1811.0,164.4,272.9,96.03,Yes
TEL-000221,PRJ-2026-0015,2026-04-10 06:00,90.85,7.65,1317.0,124.3,273.8,98.16,No
TEL-000222,PRJ-2026-0015,2026-04-09 07:00,84.11,12.48,1779.0,102.5,183.6,97.88,Yes
TEL-000223,PRJ-2026-0015,2026-04-08 22:00,84.48,10.23,1764.0,127.8,261.4,98.89,Yes
TEL-000224,PRJ-2026-0015,2026-04-07 18:00,90.45,12.12,1490.0,159.0,262.1,98.6,No
TEL-000225,PRJ-2026-0015,2026-04-06 23:00,86.33,8.42,1743.0,102.4,266.7,97.43,No
TEL-000226,PRJ-2026-0016,2026-04-20 17:00,90.82,9.7,1566.0,159.3,189.3,96.92,No
TEL-000227,PRJ-2026-0016,2026-04-19 07:00,84.04,8.61,1566.0,155.4,241.0,97.24,Yes
TEL-000228,PRJ-2026-0016,2026-04-18 23:00,85.25,9.25,1674.0,162.7,208.0,96.41,Yes
TEL-000229,PRJ-2026-0016,2026-04-17 05:00,85.75,10.52,1283.0,151.6,278.6,97.87,Yes
TEL-000230,PRJ-2026-0016,2026-04-16 07:00,90.89,10.36,1734.0,106.1,224.4,97.13,No
TEL-000231,PRJ-2026-0016,2026-04-15 06:00,90.54,11.65,1667.0,128.0,223.3,99.13,No
TEL-000232,PRJ-2026-0016,2026-04-14 10:00,90.9,9.02,1835.0,140.9,162.4,98.85,No
TEL-000233,PRJ-2026-0016,2026-04-13 06:00,86.99,7.5,1758.0,126.3,250.6,97.59,No
TEL-000234,PRJ-2026-0016,2026-04-12 09:00,91.95,11.73,1214.0,89.2,121.6,98.72,No
TEL-000235,PRJ-2026-0016,2026-04-11 21:00,88.52,8.36,1230.0,102.7,132.4,97.41,No
TEL-000236,PRJ-2026-0016,2026-04-10 15:00,91.06,7.66,1368.0,139.4,125.5,96.86,No
TEL-000237,PRJ-2026-0016,2026-04-09 19:00,86.79,8.53,1204.0,100.9,177.2,96.15,No
TEL-000238,PRJ-2026-0016,2026-04-08 13:00,91.25,9.22,1833.0,95.8,261.6,96.86,No
TEL-000239,PRJ-2026-0016,2026-04-07 14:00,86.27,10.91,1222.0,166.3,212.9,99.09,No
TEL-000240,PRJ-2026-0016,2026-04-06 07:00,86.28,10.62,1691.0,108.3,260.0,97.12,No
TEL-000241,PRJ-2026-0017,2026-04-20 17:00,87.15,9.63,1205.0,136.1,175.5,98.84,No
TEL-000242,PRJ-2026-0017,2026-04-19 07:00,92.0,8.13,1828.0,110.6,163.2,96.61,No
TEL-000243,PRJ-2026-0017,2026-04-18 06:00,84.46,11.4,1688.0,122.3,265.2,98.32,Yes
