case_id,project_id,customer_name,equipment_type,reported_date,issue_category,symptom_description,severity,assigned_engineer,diagnosis_status,root_cause,resolution,spare_parts_used,time_to_resolve_hrs,csat_rating,sla_status
SC-015,PRJ-028,Paradeep Phosphates,WHRB,2025-03-12,Economizer Leak,Economizer finned tube leak — feedwater loss observed,Critical,Priya Menon,Resolved,Dew point corrosion — flue gas temp below acid dew point,Tube plugging + economizer bypass + minimum load procedure update,Tube plugs x8,42,4.0,Within SLA
SC-016,PRJ-033,Ambuja Cements Ropar,CFBC Boiler,2025-03-18,Performance Drop,Steam generation 15% below MCR despite full fuel feed,High,Ravi Sharma,Resolved,Cyclone separator erosion — excessive particle bypass to convection pass,Cyclone refractory relining + wear plate replacement,Cyclone wear plates x8 + refractory 3T,120,3.4,Breached
SC-017,PRJ-035,Dalmia Cement Dalmiapuram,AFBC Boiler,2025-03-22,Noise,Unusual metallic noise from FD fan — intermittent grinding sound,Medium,Deepak Patil,Resolved,Loose impeller hub bolt + minor blade tip rubbing against casing,Hub bolt retorquing + casing clearance adjustment,FD fan bolts + shim plates,6,4.7,Within SLA
SC-018,PRJ-040,Adani Mundra,ESP,2025-03-28,Emission Non-Compliance,Particulate emission 85 mg/Nm3 vs limit 50 — opacity high,Critical,Ankit Verma,Resolved,Rapping system failure in 3rd field + broken collecting plates,Rapping motor replacement + plate realignment,Rapping motors x3 + collecting plates x12,60,3.9,At Risk
SC-019,PRJ-042,Tata Steel Jamshedpur,WHRB,2025-04-02,Tube Leak,Superheater tube leak — steam plume visible from casing joint,Critical,Ravi Sharma,Resolved,Long-term creep damage at tube bend — exceeded design temp intermittently,Tube section replacement + operating procedure update for GT load matching,Superheater tubes x6 + welding consumables,84,3.7,Breached
SC-020,PRJ-038,Reliance Dahej,Thermic Fluid Heater,2025-04-06,Startup Failure,Heater fails to maintain pilot flame — repeated lockouts,High,Priya Menon,Resolved,Defective UV flame scanner + low fuel oil viscosity at ambient temperature,Scanner replacement + fuel oil preheater recalibration,UV flame scanner + preheater element,10,4.5,Within SLA
SC-021,PRJ-045,JSW Dolvi,Cooling Tower,2025-04-10,Performance Drop,CW outlet temperature 5°C above design — condenser vacuum dropping,Medium,Suresh Kumar,Resolved,Cooling tower fill media deterioration + algae growth on drift eliminators,Fill media replacement in 2 cells + biocide treatment program,CT fill media 200 m2 + biocide chemicals,72,4.0,Within SLA
SC-022,PRJ-048,UltraTech Vikram,AFBC Boiler,2025-04-15,Corrosion,Economizer tube external corrosion — acid dew point condensation,High,Deepak Patil,Resolved,Continuous low load operation causing flue gas temp below 130°C at economizer,Tube section replacement + minimum load interlock implementation,Economizer tubes x10,48,4.2,Within SLA
SC-023,PRJ-050,NTPC Singrauli,CFBC Boiler,2025-04-20,Control Issue,Bed pressure fluctuating ±500 mmWC — unstable fluidization,High,Ankit Verma,Resolved,Air distribution plate nozzle blockage — 20% nozzles choked with clinker,Nozzle cleaning + bed material change out + PA fan damper tuning,Air nozzles x80 + bed material 5T,36,4.1,Within SLA
SC-024,PRJ-052,Hindalco Aditya Aluminium,Evaporator,2025-04-25,Corrosion,Caustic embrittlement observed on evaporator shell welds,Critical,Ravi Sharma,In Progress,Stress corrosion cracking from high NaOH concentration + thermal cycling,Weld repair + post-weld heat treatment + NaOH concentration monitoring,Welding consumables + stress relief equipment,Ongoing,Pending,At Risk
SC-025,PRJ-055,ACC Chaibasa,Bag Filter,2025-05-01,Performance Drop,Filter differential pressure 250 mmWC vs design 150 — high power draw,Medium,Priya Menon,Resolved,Bag blinding due to moisture in gas + inadequate pulse cleaning pressure,Bag replacement in compartment 3 + compressed air dryer installation,Filter bags x120 + air dryer unit,30,4.3,Within SLA
SC-026,PRJ-058,Grasim Industries Kharach,Absorption Chiller,2025-05-05,Vibration,Solution pump vibration 6.5 mm/s — bearing temperature rising,High,Suresh Kumar,Resolved,Pump shaft misalignment after maintenance + worn coupling spider,Shaft realignment + coupling spider replacement,Coupling spider + alignment shims,8,4.6,Within SLA
SC-027,PRJ-060,Vedanta Jharsuguda,AFBC Boiler,2025-05-10,Bearing Failure,PA fan drive-end bearing failure — high temperature alarm,Critical,Deepak Patil,Resolved,Lubricant contamination with coal dust + seal deterioration,Bearing replacement + labyrinth seal upgrade + oil mist lubrication,PA fan bearings x2 + labyrinth seals,24,4.0,Within SLA
SC-028,PRJ-062,Dalmia Cement Kadapa,FGD System,2025-05-15,Corrosion,FGD absorber tower internal lining corrosion — rubber lining delaminating,High,Ankit Verma,In Progress,Chemical attack from high chloride content in flue gas + thermal cycling,Rubber lining repair in affected sections + flue gas chloride monitoring,Rubber lining sheets 50 m2,Ongoing,Pending,At Risk
SC-029,PRJ-064,Adani Tirora,CFBC Boiler,2025-05-20,Refractory Damage,Cyclone vortex finder refractory erosion — particle leakage to convection,High,Ravi Sharma,Resolved,High velocity abrasion + refractory material not suited for coal ash composition,Refractory replacement with SiC-based castable + velocity reduction by cyclone geometry modification,SiC refractory 2T + vortex finder assembly,144,3.3,Breached
SC-030,PRJ-066,Tata Power Mundra,ESP,2025-05-25,Control Issue,ESP automatic voltage controller oscillating — frequent spark trips,Medium,Priya Menon,Resolved,AVC card firmware issue + dirty insulators reducing creepage distance,AVC card replacement + insulator cleaning schedule implementation,AVC cards x4 + cleaning chemicals,14,4.4,Within SLA
SC-031,PRJ-068,IOC Mathura,Thermic Fluid Heater,2025-06-01,Performance Drop,Heater efficiency dropped to 78% — high stack temperature 280°C,Medium,Suresh Kumar,Resolved,Carbon deposits on coil surface reducing heat transfer + excess air at 8%,Online chemical cleaning + combustion tuning per SOP-TF-03,Cleaning chemicals + O2 analyzer probe,16,4.2,Within SLA
SC-032,PRJ-070,Ambuja Cements Bhatapara,AFBC Boiler,2025-06-05,Tube Leak,Drum downcomer tube crack — detected during planned shutdown inspection,High,Deepak Patil,Resolved,Fatigue cracking from repeated thermal transients during load cycling,Tube replacement + controlled ramp rate procedure + weld quality upgrade,Downcomer tubes x2 + weld consumables,60,4.1,Within SLA
SC-033,PRJ-072,JSW Bellary,WHRB,2025-06-10,Performance Drop,WHRB steam output 20% below design — GT exhaust gas parameters normal,High,Ankit Verma,Resolved,Superheater tube bank fouling — iron oxide deposits from GT side,Chemical cleaning of SH tubes + desuperheater spray valve repair,Cleaning chemicals + spray valve assembly,48,3.8,At Risk
SC-034,PRJ-074,Reliance Patalganga,Cooling Tower,2025-06-15,Noise,Abnormal noise from CT fan — low frequency rumbling,Medium,Ravi Sharma,Resolved,Fan blade pitch angle variation due to loose hub + gear reducer oil level low,Blade pitch correction + gear oil top-up + hub bolt retorquing,Gear reducer oil 50L + hub bolts,12,4.5,Within SLA
SC-035,PRJ-076,NTPC Ramagundam,AFBC Boiler,2025-06-20,Emission Non-Compliance,NOx levels 450 mg/Nm3 vs limit 300 — SNCR system underperforming,High,Priya Menon,Resolved,SNCR urea injection nozzles clogged + injection location not optimal,Nozzle cleaning + injection lance repositioning to 850°C zone,SNCR nozzles x8 + lance assemblies x3,20,4.0,Within SLA
SC-036,PRJ-078,Sun Pharma Ankleshwar,Absorption Chiller,2025-06-25,Startup Failure,Chiller unable to pull vacuum after annual maintenance — non-condensables present,Medium,Suresh Kumar,Resolved,Improper sealing of inspection flanges during reassembly + purge pump check valve stuck,Flange gasket replacement + purge pump overhaul,Flange gaskets x6 + purge pump valve kit,10,4.3,Within SLA
SC-037,PRJ-080,UltraTech Reddipalayam,Bag Filter,2025-07-01,Control Issue,Pulse valve solenoids failing sequentially — compartments going offline,Medium,Deepak Patil,Resolved,Moisture in compressed air corroding solenoid internals + timer board fault,Solenoid replacement + compressed air dryer upgrade + timer board replacement,Solenoids x24 + timer board + air dryer,18,4.1,Within SLA
SC-038,PRJ-082,Hindalco Muri,AFBC Boiler,2025-07-06,Performance Drop,Unburnt carbon in fly ash 8% — target below 3%,Medium,Ankit Verma,Resolved,Bed height below optimal + secondary air port blockage reducing overfire air,Bed material addition + SA port cleaning + PA/SA ratio adjustment,Bed material 8T + SA port nozzles x12,14,4.4,Within SLA
SC-039,PRJ-084,Dalmia Cement Ariyalur,CFBC Boiler,2025-07-12,Vibration,Furnace floor vibration during start-up — structural resonance,High,Ravi Sharma,In Progress,Fluidization instability at low load + structural natural frequency match,Dynamic analysis pending + temporary operating load restriction,Structural stiffeners + vibration dampers,Ongoing,Pending,At Risk
SC-040,PRJ-086,Adani Kawai,WHRB,2025-07-18,Tube Leak,Economizer tube leak — detected by makeup water increase,High,Priya Menon,Resolved,Pitting corrosion from dissolved oxygen in feedwater — deaerator malfunction,Tube plugging + deaerator vent valve repair + chemical dosing optimization,Tube plugs x6 + vent valve assembly,30,4.2,Within SLA
SC-041,PRJ-088,Tata Chemicals Haldia,Evaporator,2025-07-22,Scaling Issue,Multiple-effect evaporator — scaling in 2nd and 3rd effects — reduced capacity,Medium,Suresh Kumar,Resolved,Calcium carbonate scaling from inadequate anti-scalant dosing,Acid cleaning all effects + anti-scalant dosing pump upgrade,Cleaning acid 2000L + dosing pump,56,3.9,At Risk
SC-042,PRJ-090,ACC Lakheri,AFBC Boiler,2025-07-28,Bearing Failure,FD fan non-drive-end bearing seizure — fan trip,Critical,Deepak Patil,Resolved,Grease over-lubrication causing bearing overheating + seal failure,Bearing replacement + automatic greasing system installation,Fan bearings x2 + auto-greaser unit,20,4.5,Within SLA
SC-043,PRJ-092,Grasim Vilayat,Thermic Fluid Heater,2025-08-02,Corrosion,Thermic fluid heater shell external corrosion under insulation,Medium,Ankit Verma,Resolved,Rainwater ingress through damaged insulation cladding — lagging deterioration,Insulation and cladding replacement + protective coating application,Insulation 30 m2 + cladding sheets + coating,40,4.0,Within SLA
SC-044,PRJ-094,Vedanta Sterlite Tuticorin,ESP,2025-08-08,Performance Drop,ESP collection efficiency dropped to 96% from design 99.5%,High,Ravi Sharma,Resolved,Electrode misalignment in field 2 + back corona due to high-resistivity ash,Electrode realignment + SO3 conditioning system commissioning,Electrode hangers x16 + SO3 dosing system,72,3.7,At Risk
SC-045,PRJ-096,Reliance Hazira,FGD System,2025-08-14,Pump Failure,FGD oxidation air blower trip — gypsum quality degradation,Medium,Priya Menon,Resolved,Blower rotor imbalance + air filter clogging reducing flow,Rotor balancing + filter replacement + air flow monitoring,Blower bearings + air filters x6,16,4.3,Within SLA
SC-046,PRJ-098,SAIL Bhilai,CFBC Boiler,2025-08-20,Refractory Damage,Furnace lower refractory erosion — hot spots on water wall panels,Critical,Suresh Kumar,Resolved,High velocity bed material erosion + poor quality refractory from last overhaul,Refractory replacement with erosion-resistant castable + studded tube installation,Refractory 5T + stud material 500 kg,168,3.1,Breached
SC-047,PRJ-100,JSW Salem,AFBC Boiler,2025-08-25,Control Issue,Boiler master controller unable to maintain load — hunting ±10%,Medium,Deepak Patil,Resolved,Feed-forward signal from coal feeder lost + PID tuning degraded over time,Feed-forward signal wiring repair + complete PID retuning,Signal cables + junction boxes,8,4.6,Within SLA
SC-048,PRJ-102,NTPC Sipat,Cooling Tower,2025-09-01,Corrosion,CT structural steel corrosion — support beam section loss,High,Ankit Verma,In Progress,Chloride-induced corrosion from cooling water blowdown splashing + inadequate coating,Structural assessment ongoing + beam reinforcement planned,Steel plates + anti-corrosion coating,Ongoing,Pending,At Risk
SC-049,PRJ-104,UltraTech Jafrabad,AFBC Boiler,2025-09-08,Performance Drop,Auxiliary power consumption 2% above design — overall efficiency impact,Low,Ravi Sharma,Resolved,Fan operating at higher damper position due to air ingress + VFD malfunction,Air ingress sealing + VFD card replacement + fan curve optimization,VFD power card + sealing materials,22,4.2,Within SLA
SC-050,PRJ-106,Dalmia Cement Rajgangpur,WHRB,2025-09-15,Tube Leak,Evaporator tube leak at weld joint — detected during hydro test,Medium,Priya Menon,Resolved,Weld defect from original fabrication — incomplete fusion at root,Weld repair per ASME standards + additional radiography on adjacent welds,Welding consumables + RT film,36,4.4,Within SLA
SC-051,PRJ-108,Adani Godda,CFBC Boiler,2025-09-22,Emission Non-Compliance,SPM 120 mg/Nm3 at ESP outlet vs limit 50 — load curtailment imposed,Critical,Suresh Kumar,Resolved,ESP field 1 transformer failure + rapping system timing offset,Transformer replacement + rapping optimization + load ramp procedure,ESP transformer + timing relay board,48,3.8,At Risk
SC-052,PRJ-110,Tata Power Trombay,Thermic Fluid Heater,2025-10-01,Noise,High-frequency whistling noise from TF heater burner during modulation,Low,Deepak Patil,Resolved,Air register damper blade vibrating at resonance frequency during low fire,Damper blade modification + anti-vibration clip installation,Damper clips x4 + modified blade,4,4.7,Within SLA
SC-053,PRJ-112,Ambuja Cements Darlaghat,Bag Filter,2025-10-08,Performance Drop,Stack opacity exceeding 20% — bag filter DP normal,Medium,Ankit Verma,Resolved,Bag cage corrosion causing bag abrasion + bypass damper leaking,Cage replacement in 2 compartments + bypass damper seat repair,Bag cages x60 + damper seal ring,28,4.0,Within SLA
SC-054,PRJ-114,Hindalco Belgaum,Absorption Chiller,2025-10-15,Control Issue,Chiller auto-shutdown on high generator temperature — repeated trips,High,Ravi Sharma,Resolved,Hot water control valve hunting + temperature sensor calibration drift,Control valve actuator replacement + sensor recalibration,Actuator assembly + RTD sensor,12,4.3,Within SLA
SC-055,PRJ-116,IOC Gujarat Refinery,FGD System,2025-10-22,Corrosion,GGH (gas-gas heater) tube corrosion — acid condensation on cold side,High,Priya Menon,In Progress,Low inlet gas temperature causing acid dew point condensation + coating failure,GGH tube bundle replacement planned + coating upgrade to C-276 alloy,GGH tube bundle + protective coating,Ongoing,Pending,Breached
