fta_id,equipment_type,top_event,gate_type,intermediate_events,basic_events,probability,most_likely_path,verification_method
FTA-012,Thermic Fluid Heater,TF Fluid Degradation,AND,"1. Overtemperature exposure|2. Oxidation|3. Contamination","1.1 High temp alarm bypass|1.2 Localized hotspot|2.1 Air ingress via expansion tank|2.2 No nitrogen blanket|3.1 Water leak into system|3.2 Fuel contamination",0.10 per month,"Overtemperature → Localized hotspot → Carbon deposit on coil → Insufficient cleaning",Fluid lab analysis → Coil inspection → Temperature log review → Carbon residue measurement
FTA-013,WHRB,WHRB Tube Leak,OR,"1. Erosion|2. Corrosion|3. Creep damage|4. Weld failure","1.1 Soot blower damage|1.2 Gas-side particle erosion|2.1 Fireside acid corrosion|2.2 Waterside oxygen pitting|3.1 Overtemperature operation|3.2 Design temperature exceeded|4.1 Original weld defect|4.2 Fatigue at weld",0.04 per month,"Corrosion → Fireside acid corrosion → Low temperature → Dew point condensation → Low load operation",UT thickness survey → Tube sample metallurgy → Flue gas temperature monitoring
FTA-014,WHRB,WHRB Drum Level Trip,OR,"1. BFW supply failure|2. Level measurement error|3. Control valve failure|4. Sudden load change","1.1 BFW pump trip|1.2 Suction strainer blockage|2.1 Transmitter drift|2.2 Impulse line blockage|3.1 Valve positioner fault|3.2 Air supply loss|4.1 GT load rejection|4.2 Process upset upstream",0.03 per month,"BFW supply failure → BFW pump trip → Motor overload → Bearing failure",Pump condition monitoring → Motor current trending → Bearing vibration check
FTA-015,FGD System,FGD Recirculation Pump Trip,OR,"1. Mechanical seal failure|2. Bearing failure|3. Motor protection trip|4. Cavitation damage","1.1 Seal face erosion|1.2 Seal cooling loss|2.1 Bearing contamination|2.2 Lubrication failure|3.1 Motor overload|3.2 Phase imbalance|4.1 Low NPSH|4.2 Suction blockage",0.06 per month,"Mechanical seal failure → Seal face erosion → Abrasive slurry particles → No seal flush water",Seal flush water check → Slurry particle analysis → Pump vibration monitoring
FTA-016,FGD System,FGD Absorber Corrosion,AND,"1. Low pH exposure|2. High chloride concentration|3. Lining failure","1.1 Limestone feed interruption|1.2 pH control failure|2.1 High Cl fuel|2.2 Inadequate blowdown|3.1 Rubber lining delamination|3.2 Alloy coating failure",0.04 per month,"Lining failure → Rubber lining delamination → Thermal cycling → pH excursion attack",Lining thickness measurement → pH trend analysis → Chloride concentration monitoring
FTA-017,ESP,ESP Total Field Trip,OR,"1. T-R set failure|2. Internal short circuit|3. Insulator failure|4. AVC malfunction","1.1 Rectifier diode failure|1.2 Transformer winding fault|2.1 Broken discharge wire|2.2 Plate-to-wire contact|3.1 Insulator cracking|3.2 Insulator contamination|4.1 AVC card fault|4.2 Feedback signal loss",0.05 per month,"T-R set failure → Rectifier diode failure → Voltage surge → Lightning/switching transient",T-R set V-I curve → Diode continuity test → Surge protection check
FTA-018,ESP,ESP Collection Efficiency Drop,AND,"1. Electrical power reduction|2. Re-entrainment|3. Sneakage","1.1 Reduced voltage due to sparking|1.2 Field out of service|2.1 Rapping too aggressive|2.2 High gas velocity|3.1 Baffle plate damage|3.2 Hopper level high — re-entrainment",0.08 per month,"Re-entrainment → Rapping too aggressive → Incorrect timing → Control system error",Opacity monitoring → Rapping parameter review → Gas velocity measurement → Hopper level check
FTA-019,Absorption Chiller,Chiller Crystallization Event,OR,"1. CW interruption|2. Power failure|3. Control malfunction|4. Vacuum loss","1.1 CW pump trip|1.2 CT fan failure|1.3 CW valve closed|2.1 No UPS backup|2.2 Auto-dilution failure|3.1 Capacity control failure|3.2 Temperature sensor error|4.1 Purge pump failure|4.2 System air leak",0.02 per month,"CW interruption → CW pump trip → Motor bearing failure → Maintenance gap",CW flow alarm testing → Pump condition monitoring → Auto-dilution system check
FTA-020,Absorption Chiller,Chiller Vacuum Loss,OR,"1. Air leak|2. Non-condensable generation|3. Purge system failure","1.1 Flange gasket deterioration|1.2 Valve packing leak|1.3 Sight glass seal failure|2.1 Solution decomposition|2.2 Corrosion gas generation|3.1 Purge pump motor failure|3.2 Purge valve stuck",0.06 per month,"Air leak → Flange gasket deterioration → Thermal cycling → Age",Helium leak test → Vacuum trend analysis → Purge system operation check
FTA-021,Cooling Tower,Cooling Tower Thermal Performance Degradation,AND,"1. Air-side degradation|2. Water-side degradation|3. Environmental factors","1.1 Fill media deterioration|1.2 Fan performance loss|1.3 Air recirculation|2.1 Scale/biofilm on fill|2.2 Poor water distribution|2.3 Nozzle blockage|3.1 High ambient wet bulb|3.2 Wind effects",0.12 per month,"Air-side degradation → Fill media deterioration → UV/chemical degradation → Age",Fill media inspection → Fan performance test → Water distribution pattern check
FTA-022,Cooling Tower,CT Fan Mechanical Failure,OR,"1. Blade failure|2. Gear reducer failure|3. Motor failure|4. Drive shaft failure","1.1 FRP blade erosion|1.2 Blade root crack|2.1 Gear tooth wear|2.2 Bearing seizure|3.1 Winding insulation failure|3.2 Motor bearing failure|4.1 Shaft fatigue|4.2 Coupling failure",0.03 per month,"Gear reducer failure → Bearing seizure → Oil contamination → Seal failure",Vibration monitoring → Oil analysis → Gear reducer inspection → Blade condition check
FTA-023,Evaporator,Evaporator Production Loss,OR,"1. Scaling/fouling|2. Vacuum loss|3. Heat source failure|4. Control malfunction","1.1 Calcium scaling|1.2 Organic fouling|2.1 Air leak|2.2 Condenser fouling|3.1 Steam supply interruption|3.2 Hot water temperature low|4.1 Level control failure|4.2 Feed pump trip",0.07 per month,"Scaling/fouling → Calcium scaling → Inadequate anti-scalant → Dosing pump failure",Heat transfer coefficient monitoring → Scale analysis → Anti-scalant dosing check
FTA-024,Evaporator,Evaporator Tube Failure,OR,"1. Stress corrosion cracking|2. Erosion|3. Scaling-induced overheating|4. Manufacturing defect","1.1 Caustic concentration|1.2 Chloride attack|2.1 High velocity impact|2.2 Cavitation|3.1 Local hot spot|3.2 Poor circulation|4.1 Weld defect|4.2 Material defect",0.03 per month,"Stress corrosion cracking → Caustic concentration → Local boiling → Scale deposit",Tube inspection → Metallurgical analysis → Process parameter review → Water chemistry check
FTA-025,Bag Filter,Bag Filter Emission Breakthrough,OR,"1. Bag failure|2. Cleaning system failure|3. System bypass|4. Design issue","1.1 Bag rupture|1.2 Bag blinding|1.3 Bag dislodgement|2.1 Pulse valve failure|2.2 Compressor failure|2.3 Timer malfunction|3.1 Bypass damper leak|3.2 Duct leak|4.1 Undersized for load|4.2 Wrong bag material",0.05 per month,"Bag failure → Bag rupture → Hot gas contact → Spark carryover from upstream",Opacity monitoring → Bag compartment isolation test → Pulse system check → Temperature monitoring
FTA-026,AFBC Boiler,FD Fan Trip,OR,"1. Motor failure|2. Mechanical failure|3. Control system trip","1.1 Motor overload|1.2 Winding insulation failure|1.3 Power supply loss|2.1 Bearing seizure|2.2 Impeller damage|2.3 Coupling failure|3.1 High vibration trip|3.2 VFD fault trip",0.03 per month,"Motor failure → Motor overload → Fan operating against high system resistance → Damper stuck closed",Motor current monitoring → Vibration trending → Coupling inspection → Damper operation check
FTA-027,CFBC Boiler,CFBC Boiler Low Steam Output,AND,"1. Combustion inefficiency|2. Heat transfer degradation|3. High losses","1.1 Poor fuel quality|1.2 Air distribution issue|1.3 Cyclone bypass|2.1 Tube fouling|2.2 Slagging|3.1 High unburnt in ash|3.2 Radiation losses|3.3 Blowdown losses",0.10 per month,"Heat transfer degradation → Tube fouling → Ash deposition → Soot blowing ineffective",Efficiency test → Fuel quality analysis → Heat transfer coefficient → Soot blower operation
FTA-028,WHRB,WHRB High Exit Gas Temperature,AND,"1. Economizer fouling|2. Reduced heat transfer area|3. High gas inlet temperature","1.1 Gas-side deposits|1.2 Finned tube erosion|2.1 Tube plugging|2.2 Bypass flow|3.1 GT load change|3.2 Duct burner over-firing",0.08 per month,"Economizer fouling → Gas-side deposits → Particulate from GT → GT combustion issue",Exit gas temp monitoring → Economizer ΔT → GT exhaust quality → Cleaning schedule review
FTA-029,Thermic Fluid Heater,TF Heater Overtemperature Trip,OR,"1. Control failure|2. Burner malfunction|3. Circulation issue","1.1 Temperature controller fault|1.2 Control valve stuck open|1.3 Sensor failure showing low|2.1 Flame stuck on high fire|2.2 Modulating motor failure|3.1 Pump underperformance|3.2 Partial flow blockage",0.02 per month,"Control failure → Temperature controller fault → Sensor failure → RTD open circuit",Temperature controller check → Control valve position → Sensor calibration → Pump performance test
FTA-030,FGD System,FGD Mist Eliminator Failure,OR,"1. Blockage|2. Structural failure|3. Wash system failure","1.1 Scale buildup|1.2 Calcium sulfate deposits|2.1 Blade deformation|2.2 Support grid corrosion|3.1 Wash nozzle blockage|3.2 Wash pump failure|3.3 Wash water quality poor",0.06 per month,"Blockage → Scale buildup → Wash system failure → Nozzle blockage → No preventive cleaning",ME ΔP monitoring → Wash system inspection → Nozzle spray pattern check → Scale analysis
FTA-031,ESP,ESP Hopper Plugging,OR,"1. Ash flow issue|2. Moisture condensation|3. Mechanical failure","1.1 Hopper heater failure|1.2 Rap-and-seal damper leak|2.1 Below dew point operation|2.2 Rain ingress|3.1 Conveyor chain break|3.2 Rotary valve seizure|3.3 Ash slide gate stuck",0.07 per month,"Ash flow issue → Hopper heater failure → Heating element burnout → No monitoring",Hopper temperature check → Conveyor operation → Ash flow inspection → Heater continuity test
FTA-032,Cooling Tower,CT Basin Overflow,OR,"1. Makeup valve malfunction|2. Level control failure|3. Blowdown blockage","1.1 Valve stuck open|1.2 Float valve failure|2.1 Level sensor drift|2.2 Controller fault|3.1 Blowdown line blockage|3.2 Blowdown valve stuck closed",0.04 per month,"Makeup valve malfunction → Valve stuck open → Scale in valve seat → No preventive maintenance",Makeup valve inspection → Level sensor calibration → Blowdown flow check → Basin level monitoring
FTA-033,AFBC Boiler,Boiler Furnace Explosion,AND,"1. Combustible gas accumulation|2. Ignition source present|3. Purge failure","1.1 Fuel leak|1.2 Incomplete combustion|1.3 Oil leak into furnace|2.1 Hot surface above auto-ignition|2.2 Spark|3.1 Purge timer bypass|3.2 Damper stuck closed during purge",0.001 per month,"Purge failure → Purge timer bypass → Operator error → Inadequate training",Purge interlock test → Damper position verification → Fuel valve leak check → Operator training records
FTA-034,Evaporator,Evaporator Corrosion Failure,AND,"1. Aggressive environment|2. Material susceptibility|3. Inadequate protection","1.1 High chloride|1.2 Low pH excursion|1.3 High temperature|2.1 Incorrect material grade|2.2 Sensitized welds|3.1 No cathodic protection|3.2 Coating failure",0.04 per month,"Aggressive environment → High chloride → Process upset → Feed quality change",Corrosion coupon monitoring → Process parameter trending → Material verification → Coating inspection
FTA-035,CFBC Boiler,CFBC Refractory Failure,OR,"1. Thermal shock|2. Erosion|3. Chemical attack|4. Mechanical damage","1.1 Rapid startup|1.2 Emergency shutdown|1.3 Flame impingement|2.1 High velocity particles|2.2 Soot blower damage|3.1 Alkali attack from fuel|3.2 Sulphur attack|4.1 Scaffolding impact|4.2 Cleaning damage",0.08 per month,"Thermal shock → Rapid startup → Not following heat-up curve → Schedule pressure",Refractory temperature logs → Heat-up rate monitoring → Refractory thickness measurement → Visual inspection
FTA-036,Bag Filter,Bag Filter Fire,OR,"1. Hot particle carryover|2. Self-heating of collected dust|3. Spark from upstream equipment|4. Electrical fault","1.1 Spark arrestor failure|1.2 High gas temperature|2.1 Reactive dust|2.2 Prolonged accumulation|3.1 Mill spark|3.2 Conveyor friction spark|4.1 Heater element failure|4.2 Wiring short circuit",0.01 per month,"Hot particle carryover → Spark arrestor failure → Mesh damage → No inspection",Temperature monitoring → Spark arrestor inspection → CO monitoring → Hopper cleaning schedule
FTA-037,Thermic Fluid Heater,TF Circulation Failure,OR,"1. Pump mechanical failure|2. Pump electrical failure|3. System blockage|4. Air lock","1.1 Seal failure|1.2 Bearing seizure|1.3 Impeller erosion|2.1 Motor winding fault|2.2 Contactor failure|2.3 Power loss|3.1 Valve closed in error|3.2 Strainer blockage|4.1 Improper venting|4.2 Expansion tank empty",0.02 per month,"Pump mechanical failure → Seal failure → Dry running → Low fluid level → Expansion tank not monitored",Pump seal inspection → Fluid level check → Motor current monitoring → Strainer ΔP check
FTA-038,WHRB,WHRB Economizer Dew Point Corrosion,AND,"1. Low gas temperature|2. High sulphur in fuel|3. Moisture presence","1.1 Low load operation|1.2 Economizer oversized|2.1 High S fuel oil|2.2 Process gas composition change|3.1 Feedwater temperature too low|3.2 Air ingress bringing moisture",0.06 per month,"Low gas temperature → Low load operation → Process demand reduction → No minimum load interlock",Economizer metal temperature monitoring → Flue gas temperature → Fuel sulphur analysis → Minimum load procedure
FTA-039,Absorption Chiller,Chiller Corrosion — Internal,AND,"1. Inhibitor depletion|2. Air ingress|3. High temperature","1.1 No inhibitor testing|1.2 Inhibitor consumed|2.1 Vacuum leak|2.2 Maintenance error — system opened|3.1 Generator overheating|3.2 Control failure",0.03 per month,"Inhibitor depletion → No inhibitor testing → Maintenance program gap → Cost cutting",Inhibitor concentration test → Solution pH monitoring → Corrosion coupon check → Vacuum trend
FTA-040,FGD System,Limestone Feed System Failure,OR,"1. Feeder mechanical failure|2. Limestone quality issue|3. Slurry preparation failure","1.1 Screw feeder jam|1.2 Belt feeder slip|1.3 Rotary valve seizure|2.1 High moisture|2.2 Wrong particle size|2.3 Low CaCO3 content|3.1 Agitator failure|3.2 Water supply interruption",0.05 per month,"Feeder mechanical failure → Screw feeder jam → Wet limestone bridging → Storage silo moisture ingress",Feeder operation check → Limestone quality testing → Silo inspection → Slurry density monitoring
FTA-041,ESP,ESP Insulator Flashover,OR,"1. Surface contamination|2. Moisture condensation|3. Structural crack|4. Design inadequacy","1.1 Dust accumulation|1.2 Acid mist deposition|2.1 Below dew point|2.2 Cooling air failure|3.1 Thermal stress|3.2 Mechanical impact|4.1 Creepage distance insufficient|4.2 Wrong material grade",0.04 per month,"Surface contamination → Dust accumulation → Purge air system failure → Blower motor trip",Insulator surface inspection → Purge air system check → Temperature monitoring → Megger test
FTA-042,Cooling Tower,CT Structural Failure,AND,"1. Material degradation|2. Overloading|3. Environmental attack","1.1 FRP aging|1.2 Timber rot|1.3 Concrete carbonation|2.1 Ice loading|2.2 Wind loading excess|2.3 Equipment added without assessment|3.1 Chemical attack|3.2 Chloride corrosion|3.3 UV degradation",0.02 per month,"Material degradation → Concrete carbonation → Age → No structural assessment",Structural inspection → Material testing → Load assessment → Environmental exposure review
FTA-043,AFBC Boiler,Boiler Safety Valve Malfunction,OR,"1. Valve sticking|2. Set pressure drift|3. Seat damage|4. Spring failure","1.1 Corrosion buildup|1.2 Lack of testing|2.1 Spring relaxation|2.2 Back pressure increase|3.1 Wire drawing|3.2 Foreign object|4.1 Material fatigue|4.2 Overheating",0.02 per month,"Valve sticking → Corrosion buildup → Moisture exposure → No periodic testing",Safety valve pop test → Set pressure verification → Visual inspection → Spring condition check
FTA-044,Evaporator,Evaporator Vacuum System Failure,OR,"1. Vacuum pump failure|2. Ejector malfunction|3. Air leak — large|4. Condenser failure","1.1 Seal water loss|1.2 Impeller erosion|1.3 Motor failure|2.1 Nozzle erosion|2.2 Low steam pressure|2.3 Diffuser damage|3.1 Flange gasket blowout|3.2 Sight glass crack|4.1 Tube fouling|4.2 CW flow interruption",0.04 per month,"Vacuum pump failure → Seal water loss → Seal water supply valve closed → Human error",Vacuum level monitoring → Seal water flow check → Ejector steam pressure → Condenser performance
FTA-045,Bag Filter,Bag Filter Structural Failure,AND,"1. Corrosion|2. Fatigue|3. Overloading","1.1 Acid dew point condensation|1.2 External corrosion under insulation|2.1 Pressure cycling|2.2 Vibration from pulsing|3.1 Excessive DP across bags|3.2 Emergency overpressure",0.01 per month,"Corrosion → Acid dew point condensation → Low gas temperature → Bypass damper leak",Structural inspection → Gas temperature monitoring → DP trending → Corrosion measurement
FTA-046,CFBC Boiler,CFBC PA Fan Failure,OR,"1. Erosion damage|2. Bearing failure|3. Motor protection trip|4. VFD fault","1.1 Abrasive dust in PA|1.2 Impeller wear|2.1 Lubrication failure|2.2 Contamination|3.1 Overload|3.2 Phase loss|4.1 Drive module failure|4.2 Cooling system failure",0.03 per month,"Erosion damage → Abrasive dust in PA → PA duct filter damaged → No duct filter inspection",Impeller condition check → Vibration monitoring → VFD parameter review → Bearing temperature trending
FTA-047,Thermic Fluid Heater,TF Expansion Tank Issues,OR,"1. Overfill|2. Low level|3. Vent blockage|4. Structural corrosion","1.1 Control valve malfunction|1.2 Fluid thermal expansion miscalculated|2.1 System leak|2.2 Fluid breakdown reducing volume|3.1 Vent pipe blockage|3.2 Flame arrestor clogging|4.1 External corrosion|4.2 Internal erosion",0.04 per month,"Low level → System leak → Flange joint deterioration → Thermal cycling of gaskets",Expansion tank level check → Vent pipe inspection → External corrosion survey → Gasket condition review
FTA-048,WHRB,WHRB Superheater Spray Failure,OR,"1. Spray valve malfunction|2. Spray water quality issue|3. Control loop failure","1.1 Valve seat erosion|1.2 Actuator failure|1.3 Valve stuck open|2.1 High TDS in spray water|2.2 Spray water temperature too high|3.1 Temperature sensor failure|3.2 Controller output failure",0.03 per month,"Spray valve malfunction → Valve seat erosion → Thermal cycling → No scheduled maintenance",Spray valve stroke test → Water quality check → Control loop tuning → Temperature sensor calibration
FTA-049,FGD System,FGD CEMS Measurement Error,OR,"1. Analyzer malfunction|2. Sampling system failure|3. Calibration drift","1.1 Sensor degradation|1.2 Electronics failure|2.1 Sample probe blockage|2.2 Sample line leak|2.3 Filter clogging|3.1 Zero drift|3.2 Span drift|3.3 Missed calibration schedule",0.08 per month,"Sampling system failure → Sample probe blockage → Particulate accumulation → Blowback system failure",CEMS calibration check → Sample system inspection → Analyzer diagnostics → Data quality review
FTA-050,Cooling Tower,CT Water Treatment Failure,AND,"1. Scaling|2. Corrosion|3. Biological growth","1.1 High hardness|1.2 Low blowdown|1.3 No scale inhibitor|2.1 Low pH|2.2 High chlorides|2.3 No corrosion inhibitor|3.1 No biocide|3.2 Stagnant zones|3.3 Warm temperatures",0.10 per month,"Scaling → High hardness → Low blowdown → Blowdown valve stuck → No monitoring",Water quality analysis → Chemical dosing review → Coupon inspection → Blowdown flow verification
FTA-051,AFBC Boiler,Coal Handling System Failure,OR,"1. Conveyor failure|2. Crusher failure|3. Bunker blockage|4. Feeder failure","1.1 Belt slip|1.2 Idler seizure|1.3 Motor trip|2.1 Hammer wear|2.2 Screen damage|2.3 Foreign object jam|3.1 Wet coal bridging|3.2 Chute blockage|4.1 Screw wear|4.2 Drive failure",0.06 per month,"Bunker blockage → Wet coal bridging → Rain ingress into coal storage → No covered storage",Coal moisture monitoring → Bunker vibrator check → Crusher inspection → Feeder output verification
FTA-052,ESP,ESP Ash Evacuation System Failure,OR,"1. Conveyor failure|2. Air slide blockage|3. Silo overflow|4. Material handling issue","1.1 Chain/screw wear|1.2 Drive motor trip|2.1 Fabric membrane damage|2.2 Air supply failure|3.1 Silo discharge valve failure|3.2 Transport vehicle delay|4.1 Dust conditioning failure|4.2 Moisture issue",0.05 per month,"Conveyor failure → Chain/screw wear → Abrasive ash → No wear monitoring program",Conveyor inspection → Air slide fabric check → Silo level monitoring → Drive condition assessment
FTA-053,Absorption Chiller,Chiller Control System Failure,OR,"1. Capacity control malfunction|2. Safety interlock failure|3. Sensor failure","1.1 Control valve actuator fault|1.2 PLC/Controller fault|1.3 Communication loss|2.1 High pressure switch failure|2.2 Low level switch failure|3.1 Temperature sensor drift|3.2 Flow switch malfunction|3.3 Pressure transmitter error",0.04 per month,"Safety interlock failure → High pressure switch failure → Switch contact oxidation → No periodic testing",Control system diagnostics → Safety interlock testing → Sensor calibration → Communication check
FTA-054,Evaporator,Evaporator Pump Trip,OR,"1. Mechanical failure|2. Electrical failure|3. Process upset|4. Control issue","1.1 Seal failure|1.2 Impeller erosion|1.3 Bearing seizure|2.1 Motor overload|2.2 Power loss|2.3 VFD fault|3.1 Loss of suction|3.2 High discharge pressure|4.1 Level interlock trip|4.2 Temperature interlock trip",0.05 per month,"Mechanical failure → Seal failure → Abrasive process fluid → No seal flush system",Pump condition monitoring → Seal inspection → Motor current trending → Process parameter review
FTA-055,Bag Filter,Bag Filter Compressed Air System Failure,OR,"1. Compressor failure|2. Air quality degradation|3. Distribution system failure","1.1 Compressor motor trip|1.2 Compressor valve failure|2.1 Moisture carryover|2.2 Oil carryover|2.3 Dryer failure|3.1 Header pipe leak|3.2 Pressure regulator failure|3.3 Isolation valve closed",0.06 per month,"Air quality degradation → Moisture carryover → Dryer failure → Desiccant exhaustion → No maintenance",Compressor operation check → Dryer performance → Air quality test → Header pressure survey
FTA-055,Bag Filter,Bag Filter Explosion,AND,"1. Combustible dust concentration above LEL|2. Ignition source present|3. Confinement|4. Oxygen availability","1.1 Excessive dust loading|1.2 Poor cleaning efficiency|2.1 Static discharge|2.2 Hot surface|2.3 Spark carryover|3.1 Enclosed filter housing|4.1 Normal air atmosphere|4.2 No inerting",0.002 per month,"Combustible dust above LEL → Excessive dust loading → Upstream process upset → No interlock to BF",Dust concentration monitoring → Static grounding verification → Spark detection system check → Explosion vent inspection
